POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
SS,10,John Canida,,Pittsburgh,MLB,MLB,10/06/2009,27,CAN,6' 5',205 lbs,Right,Right,5.0 Stars,5.0 Stars,60,61,73,93,65,56,72,78,86,100,91,75,59,56,69,81,59,52,29,1,Line Drive,Pull,Normal,1,1,1,18,1,1,1,1,18,1,1,1,1,18,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,89-91,89-91,SUB,Normal,1,1,2,3,2,70,58,67,50,43,28,46,48,34,30,72,640,569,.299,.373,.650,137.0,.423,1.024,.307,5.83,133,8.6,60.3,-2.3,1.9,-0.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,34,Manny Castillo,,Chicago,MLB,MLB,03/10/2014,23,VEN,6' 0',190 lbs,Right,Right,5.0 Stars,5.0 Stars,61,72,61,88,59,51,87,83,72,100,85,67,67,57,58,84,54,48,37,7,Line Drive,Normal,Spray,1,1,1,13,1,1,1,1,13,1,1,1,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,87-89,87-89,SIDE,Normal,1,1,61,67,57,25,27,49,20,53,45,49,7,17,29,38,532,488,.303,.355,.584,94.5,.394,.939,.334,2.90,98,5.1,34.9,-2.3,-4.5,-6.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,46,Greg Chavarria,,St. Louis,MLB,MLB,03/03/2011,26,VEN,5' 9',185 lbs,Right,Right,5.0 Stars,5.0 Stars,70,67,60,81,70,67,80,93,70,100,83,95,62,62,58,72,65,60,47,9,Line Drive,Spray,Normal,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,91-93,3/4,Normal,1,5,66,63,63,31,26,56,22,29,36,47,28,19,24,31,550,476,.279,.371,.498,90.3,.368,.869,.299,2.80,90,5.7,27.4,0.0,0.5,0.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,83,Lorenzo Garcia,,Cleveland,MLB,MLB,01/18/2012,25,DOM,6' 5',200 lbs,Left,Left,5.0 Stars,5.0 Stars,78,70,46,99,91,77,59,57,43,66,73,55,75,87,48,100,96,86,26,6,Line Drive,Spray,Spray,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,89-91,3/4,Normal,1,10,2,4,1,31,18,36,7,12,32,24,4,10,5,3,664,564,.309,.404,.543,125.3,.395,.946,.326,4.53,123,5.4,45.7,0.0,0.1,0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,48,Koen Gaskell,,New York,MLB,MLB,05/15/2014,23,ARU,6' 3',200 lbs,Right,Right,5.0 Stars,5.0 Stars,96,87,100,69,58,93,100,100,100,100,68,100,81,86,100,60,55,80,70,11,Line Drive,Normal,Pull,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,OTT,Normal,1,1,1,1,2,67,52,53,51,53,34,34,72,48,44,60,607,542,.328,.395,.561,119.0,.404,.956,.346,3.22,117,6.5,46.0,-3.0,1.1,-1.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,29,Jacob Lombard,,Chicago,MLB,MLB,09/27/2007,29,USA,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,82,84,87,57,72,69,97,94,100,61,88,79,79,77,79,56,67,65,61,63,Line Drive,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,88-90,88-90,OTT,Normal,4,1,2,-,4,82,74,70,71,53,47,59,77,68,78,100,652,578,.279,.351,.476,101.7,.355,.827,.297,3.84,100,6.7,22.1,3.4,-0.4,3.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,8,Greg Mancillas,,Washington,MLB,MLB,10/20/2012,24,DOM,6' 2',195 lbs,Right,Right,5.0 Stars,5.0 Stars,95,87,80,98,67,92,100,100,93,100,93,100,83,88,76,87,60,81,83,78,Line Drive,Pull,Spray,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,83-85,3/4,Normal,1,1,4,3,1,34,24,24,19,82,49,50,84,76,82,96,628,568,.364,.419,.746,179.9,.477,1.165,.359,8.21,158,13.4,86.4,3.5,3.4,6.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,21,Teruhiko Nagata,,Cincinnati,MLB,MLB,03/23/2009,28,BRA,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,64,54,52,84,69,77,64,97,60,100,87,100,51,57,49,69,62,62,20,3,Flyball,Normal,Normal,1,4,1,12,1,1,4,1,12,1,1,4,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,85-87,85-87,3/4,Normal,1,4,57,57,54,30,7,60,15,22,21,37,1,17,1,31,536,476,.296,.360,.529,89.6,.370,.889,.295,2.17,89,4.5,19.9,0.0,-1.3,-1.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,30,Bobby Rangel,,San Diego,MLB,MLB,04/21/2011,26,DOM,6' 1',190 lbs,Right,Right,5.0 Stars,5.0 Stars,91,79,84,62,91,92,89,100,94,81,100,100,75,86,80,58,87,84,55,5,Line Drive,Normal,Pull,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,3/4,Normal,1,4,1,1,1,64,69,61,61,44,31,61,82,54,67,92,615,517,.321,.418,.574,131.5,.414,.992,.327,5.43,123,7.4,55.0,2.0,-1.4,0.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,9,Carlos Rivera,,Philadelphia,MLB,MLB,11/21/2011,25,VEN,6' 4',205 lbs,Left,Left,5.0 Stars,5.0 Stars,52,74,63,98,100,39,57,43,52,74,92,30,81,56,69,100,100,42,29,1,Line Drive,Normal,Pull,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,84-86,SIDE,Normal,1,3,4,3,3,17,15,38,3,64,54,72,59,36,27,83,630,518,.286,.406,.616,135.8,.424,1.022,.315,6.10,131,7.0,58.8,-3.2,-2.6,-5.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,28,Bronson Smith,,Tampa Bay,MLB,MLB,03/26/2012,25,USA,6' 1',195 lbs,Right,Right,5.0 Stars,5.0 Stars,87,87,57,88,92,74,100,100,62,100,100,100,83,80,55,79,88,66,17,4,Line Drive,Pull,Normal,1,3,1,15,1,1,3,1,15,1,1,3,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,89-91,91-93,3/4,Normal,1,2,1,4,3,46,35,37,26,26,23,34,47,21,17,34,655,547,.313,.421,.514,123.3,.395,.935,.362,3.60,121,6.4,51.1,-1.6,1.8,0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
