POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
1B,35,Arturo Bautista,,Toronto,MLB,MLB,11/26/2022,28,VEN,6' 2',200 lbs,Left,Left,5.0 Stars,5.0 Stars,86,76,51,81,55,83,50,46,41,43,36,43,89,100,57,100,66,100,42,10,Line Drive,Ex. Pull,Spray,1,1,1,12,1,1,2,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,83-85,83-85,SIDE,Normal,1,2,7,6,11,24,12,46,7,56,33,54,32,4,2,4,624,556,.365,.425,.644,153.3,.446,1.069,.366,5.69,142,7.5,69.8,0.0,-1.2,-1.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,32,Alex Briceno,,Indianapolis,MLB,MLB,09/26/2017,33,DOM,6' 6',200 lbs,Right,Right,5.0 Stars,5.0 Stars,72,62,62,78,84,76,72,92,72,100,97,100,60,64,60,69,80,66,29,1,Line Drive,Spray,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,80-83,80-83,OTT,Normal,1,6,4,1,3,44,40,71,47,27,16,45,59,59,75,92,668,580,.309,.389,.566,134.8,.400,.955,.327,4.95,127,8.0,56.0,6.3,1.4,7.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,17,Ryan Goodman,,Miami,MLB,MLB,11/29/2023,27,USA,6' 2',205 lbs,Right,Left,5.0 Stars,5.0 Stars,77,63,52,89,63,83,84,100,63,100,100,100,59,69,50,70,53,76,26,7,Line Drive,Spray,Spray,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,SIDE,Normal,1,1,3,2,1,38,34,28,4,53,41,59,46,23,40,6,650,559,.320,.409,.597,139.9,.424,1.007,.328,4.66,136,7.1,59.2,-2.0,-0.4,-2.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,9,Juan Guerra,,New York,MLB,MLB,03/07/2026,25,VEN,5' 9',175 lbs,Left,Right,5.0 Stars,5.0 Stars,83,67,67,74,76,89,51,50,50,45,46,49,76,97,76,90,93,100,32,8,Line Drive,Normal,Normal,1,1,1,16,1,1,1,1,16,1,1,1,1,16,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,86-88,86-88,3/4,Normal,1,1,1,3,2,70,58,74,46,28,33,45,54,26,9,29,606,529,.318,.398,.567,123.9,.405,.965,.321,2.73,118,8.0,48.5,-1.5,1.7,0.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,1,Jinjun Hoff,,Kansas City,MLB,MLB,05/31/2024,27,USA,6' 2',205 lbs,Right,Right,5.0 Stars,5.0 Stars,49,45,61,76,47,56,49,60,73,100,51,79,43,47,58,65,46,51,33,4,Flyball,Pull,Spray,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,90-92,90-92,3/4,Normal,1,15,63,76,64,15,8,46,23,41,32,50,27,45,49,42,455,392,.301,.391,.571,90.3,.398,.963,.324,3.38,85,5.3,31.0,-0.7,-0.2,-0.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,16,Heliodoro Jotta,,Seattle,MLB,MLB,09/05/2023,28,USA,6' 2',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,83,81,90,74,81,74,99,100,100,90,97,100,75,73,83,69,74,62,16,13,Line Drive,Pull,Normal,1,4,1,9,3,1,4,1,9,3,1,4,1,9,3,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,1,6,5,9,60,53,56,50,44,35,49,39,32,47,73,625,525,.307,.416,.526,120.7,.399,.942,.330,5.14,118,6.6,49.2,-0.8,1.7,0.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,32,Amadeo Muginstein,,St. Louis,MLB,MLB,09/17/2025,25,VEN,6' 4',205 lbs,Right,Right,5.0 Stars,5.0 Stars,87,81,59,64,77,81,91,100,65,84,86,100,77,81,57,60,73,73,30,1,Line Drive,Pull,Spray,1,1,1,6,1,1,1,1,6,1,1,1,1,6,1,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,85-87,85-87,3/4,GB'er,1,5,1,3,1,66,59,68,46,51,43,46,25,28,35,47,640,544,.329,.416,.559,127.2,.410,.974,.346,5.32,127,9.3,53.0,-1.6,3.7,2.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,35,Alejandro Nava,,Cincinnati,MLB,MLB,08/22/2019,32,VEN,6' 4',200 lbs,Right,Right,5.0 Stars,5.0 Stars,88,80,58,57,90,85,91,100,62,68,100,100,77,83,56,53,87,78,23,11,Line Drive,Spray,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,89-91,89-91,3/4,Normal,1,2,2,3,1,75,51,41,55,19,21,50,78,55,73,78,643,544,.318,.411,.555,136.9,.409,.966,.327,4.24,127,9.1,42.7,6.9,1.6,8.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,56,Bruce Valencia,,St. Louis,MLB,MLB,06/02/2026,25,VEN,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,80,81,91,90,86,67,95,100,97,100,100,94,77,72,88,86,82,60,31,5,Line Drive,Pull,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,88-90,88-90,3/4,Normal,1,1,3,1,2,32,25,15,23,63,40,30,78,56,67,80,679,582,.335,.427,.603,159.9,.430,1.030,.370,6.84,146,8.7,67.1,3.6,0.1,3.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,15,Emilio Garza,,Minnesota,MLB,MLB,12/11/2028,22,DOM,6' 1',190 lbs,Right,Right,5.0 Stars,5.0 Stars,67,68,83,90,62,61,80,88,96,100,87,84,63,61,78,80,57,56,45,2,Line Drive,Pull,Pull,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,88-90,90-92,3/4,Normal,1,1,1,4,4,63,66,68,65,32,34,48,60,39,17,44,609,534,.236,.325,.427,74.7,.320,.752,.265,0.53,76,3.6,5.4,-2.2,1.4,-0.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
