POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
LF,11,Jackson Chourio,,Milwaukee,MLB,MLB,03/11/2004,24,VEN,5' 11',180 lbs,Right,Right,5.0 Stars,5.0 Stars,86,83,57,78,58,76,86,90,59,83,59,81,82,84,57,76,58,74,59,42,Line Drive,Normal,Normal,1,1,1,43,1,1,1,1,41,1,1,1,1,44,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,3/4,Normal,5,-,1,1,1,60,57,59,53,64,82,64,96,84,91,74,662,572,.330,.411,.582,141.1,.406,.993,.358,7.89,129,7.5,52.6,2.4,1.3,3.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,23,Michael Harris II,,Atlanta,MLB,MLB,03/07/2001,27,USA,6' 0',160 lbs,Left,Left,5.0 Stars,5.0 Stars,91,86,68,61,38,84,80,82,62,55,35,72,88,94,70,63,39,88,62,41,Line Drive,Normal,Normal,1,9,1,51,1,1,11,2,54,1,1,7,1,50,1,13,-,1,7,-,-,-,-,-,-,-,-,3,FB,89-91,90-92,3/4,Normal,58,52,3,3,2,12,23,60,7,93,60,77,75,63,85,89,658,607,.293,.342,.498,101.9,.355,.839,.316,2.35,101,6.7,24.8,1.2,1.6,2.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,44,Julio Rodriguez,,Seattle,MLB,MLB,12/29/2000,27,DOM,6' 3',220 lbs,Right,Right,5.0 Stars,5.0 Stars,83,90,48,70,53,62,95,90,50,80,59,72,88,80,48,66,52,61,59,35,Line Drive,Normal,Normal,1,1,1,41,1,1,1,1,41,1,1,1,1,41,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,90-92,90-92,3/4,Normal,1,-,1,1,2,17,20,39,10,84,81,65,92,71,85,80,647,575,.289,.360,.574,122.4,.386,.934,.293,2.83,115,8.8,44.2,3.4,4.4,7.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,89,Sebastian Walcott,,Texas,MLB,MLB,03/14/2006,22,BAH,6' 4',195 lbs,Right,Right,5.0 Stars,5.0 Stars,93,95,84,88,75,78,91,99,94,100,90,95,96,91,80,79,70,72,44,30,Line Drive,Normal,Normal,1,1,1,49,1,1,1,1,47,1,1,1,1,51,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,3/4,Normal,4,-,1,1,1,67,63,78,65,54,47,73,67,71,76,74,661,591,.321,.390,.631,140.3,.427,1.021,.319,4.48,140,8.9,62.7,0.6,-0.8,-0.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,7,Bobby Witt Jr.,,Kansas City,MLB,MLB,06/14/2000,28,USA,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,67,58,81,66,46,76,59,69,81,66,46,77,58,67,81,65,46,76,57,45,Line Drive,Pull,Pull,1,14,1,49,1,1,13,1,47,1,1,14,1,51,1,24,-,-,-,-,-,-,-,-,-,-,-,1,FB,92-94,92-94,3/4,Normal,38,33,2,2,2,83,79,84,75,49,50,70,100,81,84,91,643,557,.323,.401,.594,136.7,.408,.995,.328,4.76,126,9.6,49.8,-1.5,3.9,2.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,33,Tony Butler,,Arizona,MLB,MLB,05/20/2004,24,USA,6' 4',200 lbs,Right,Right,4.5 Stars,5.0 Stars,74,57,41,61,43,90,62,92,44,81,49,100,55,67,41,57,41,82,31,10,Normal,Spray,Pull,1,2,1,13,1,1,2,1,13,1,1,2,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,2,76,74,76,32,6,74,12,30,57,73,11,5,3,8,518,472,.263,.326,.436,64.0,.330,.763,.275,-0.11,69,4.0,9.9,0.0,-1.0,-1.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,44,Elly De La Cruz,,Cincinnati,MLB,MLB,01/11/2002,26,DOM,6' 5',200 lbs,Switch,Right,4.5 Stars,5.0 Stars,58,69,74,64,58,49,63,53,67,57,55,46,70,60,76,67,59,50,46,36,Line Drive,Pull,Pull,1,1,1,48,1,1,1,1,47,1,1,1,1,49,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,OTT,Normal,2,-,1,1,2,75,58,95,72,40,40,78,100,100,100,79,659,587,.283,.351,.508,104.6,.359,.858,.322,3.65,103,5.1,17.4,1.6,1.2,2.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,23,Fernando Tatis Jr.,,San Diego,MLB,MLB,01/02/1999,29,DOM,6' 3',190 lbs,Right,Right,4.5 Stars,4.5 Stars,60,64,66,86,52,55,66,62,67,90,55,57,63,60,65,84,52,54,61,55,Line Drive,Ex. Pull,Pull,1,1,1,54,1,1,1,1,54,1,1,1,1,54,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,90-92,90-92,3/4,Normal,1,-,1,1,1,54,59,76,45,67,67,82,75,61,89,86,656,579,.290,.366,.558,122.5,.384,.924,.320,4.13,116,7.2,42.4,5.3,0.3,5.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,29,James Wood,,Washington,MLB,MLB,09/17/2002,26,USA,6' 7',235 lbs,Left,Right,4.5 Stars,4.5 Stars,67,100,81,77,72,44,97,62,76,67,62,42,100,69,84,80,75,45,32,16,Line Drive,Ex. Pull,Pull,1,1,1,44,1,1,1,1,44,1,1,1,1,45,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,OTT,Normal,5,15,3,3,1,21,27,42,13,60,65,67,85,64,85,73,653,561,.276,.371,.553,122.7,.384,.923,.330,3.24,115,6.0,40.0,1.7,2.1,3.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,76,Jeferson Quero,,Milwaukee,MLB,MLB,10/08/2002,25,VEN,5' 10',210 lbs,Right,Right,4.5 Stars,5.0 Stars,55,41,44,63,58,84,40,57,47,77,69,90,41,55,43,60,56,81,50,40,Normal,Normal,Normal,1,1,1,43,1,1,1,1,41,1,1,1,1,44,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,3/4,Normal,1,-,80,75,73,15,22,41,10,16,18,31,39,14,90,43,535,470,.268,.344,.468,74.0,.346,.812,.283,0.91,78,5.0,16.4,-0.1,-0.1,-0.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
