POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
LF,3,Mike Atkins,,New York,MLB,MLB,10/20/2014,25,USA,6' 6',205 lbs,Left,Left,5.0 Stars,5.0 Stars,83,76,92,91,54,79,58,55,69,56,47,51,82,92,99,100,57,90,50,4,Line Drive,Normal,Normal,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,3/4,Normal,1,1,4,4,4,11,7,39,3,69,59,59,66,51,59,78,617,552,.324,.384,.611,130.0,.409,.995,.323,2.97,122,7.5,52.6,-0.8,2.1,1.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,32,Alex Briceno,,Indianapolis,MLB,MLB,09/26/2017,22,DOM,6' 6',200 lbs,Right,Right,5.0 Stars,5.0 Stars,73,79,98,90,84,61,90,93,100,100,96,83,74,66,94,81,80,56,26,6,Line Drive,Spray,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,OTT,Normal,1,6,4,1,3,44,40,71,47,34,20,50,46,57,71,82,635,543,.269,.361,.519,111.0,.369,.880,.310,3.31,105,5.0,38.6,2.1,0.7,2.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,46,Greg Chavarria,,St. Louis,MLB,MLB,03/03/2011,29,VEN,5' 9',185 lbs,Right,Right,5.0 Stars,5.0 Stars,65,60,59,79,71,66,70,88,69,100,84,95,58,59,57,69,66,59,49,8,Line Drive,Spray,Normal,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,89-91,91-93,3/4,Normal,1,5,66,63,63,28,25,53,20,25,34,41,29,18,28,40,521,445,.324,.417,.622,116.4,.429,1.039,.344,3.68,111,8.0,51.9,-2.0,0.7,-1.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,83,Lorenzo Garcia,,Cleveland,MLB,MLB,01/18/2012,28,DOM,6' 5',195 lbs,Left,Left,5.0 Stars,5.0 Stars,85,72,46,94,91,86,60,60,43,62,73,59,77,93,48,100,96,97,24,6,Line Drive,Spray,Spray,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,89-91,3/4,Normal,1,10,2,4,1,31,18,36,7,8,28,20,5,8,3,3,654,549,.304,.408,.566,129.1,.403,.975,.304,5.84,126,5.5,49.8,-1.6,0.1,-1.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,3,J.J. Garton,,St. Louis,MLB,MLB,05/09/2016,24,USA,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,80,91,60,67,61,59,100,100,70,95,72,83,86,72,58,60,59,55,18,3,Line Drive,Normal,Spray,1,4,1,2,4,1,4,1,2,4,1,4,1,2,4,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,SIDE,Normal,1,8,1,5,1,75,88,50,61,49,67,50,61,42,40,39,632,552,.290,.366,.489,96.5,.365,.855,.328,0.91,102,7.2,30.1,-3.0,3.6,0.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,48,Koen Gaskell,,New York,MLB,MLB,05/15/2014,26,ARU,6' 3',200 lbs,Right,Right,5.0 Stars,5.0 Stars,90,84,100,77,91,84,100,100,100,100,100,100,79,81,98,65,85,72,69,11,Line Drive,Normal,Pull,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,OTT,Normal,1,1,1,1,2,70,52,53,51,52,32,31,75,59,55,79,647,553,.302,.389,.571,126.6,.402,.961,.309,4.01,124,8.3,48.1,-0.2,3.1,2.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,29,Jacob Lombard,,Chicago,MLB,MLB,09/27/2007,32,USA,6' 2',205 lbs,Right,Right,5.0 Stars,5.0 Stars,69,80,81,49,81,56,93,83,100,52,99,61,76,65,73,48,76,54,59,57,Line Drive,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,88-90,88-90,OTT,Normal,4,1,1,-,4,79,74,70,71,47,46,56,72,66,74,100,631,531,.315,.417,.492,120.4,.393,.908,.393,2.68,116,9.3,41.0,5.3,3.3,8.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,8,Greg Mancillas,,Washington,MLB,MLB,10/20/2012,27,DOM,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,77,69,73,66,62,77,81,98,86,92,86,100,65,70,69,60,57,68,82,77,Line Drive,Pull,Spray,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,83-85,3/4,Normal,1,1,4,3,1,28,18,17,13,82,49,50,85,79,80,100,641,550,.296,.385,.498,113.5,.370,.884,.312,4.19,106,9.0,32.6,3.9,5.1,8.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,30,Bobby Rangel,,Detroit,MLB,MLB,04/21/2011,29,DOM,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,90,79,73,54,88,88,88,100,83,65,99,100,75,84,70,51,84,81,54,4,Line Drive,Normal,Pull,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,3/4,Normal,1,4,1,1,1,64,69,61,61,40,26,54,86,54,68,98,613,525,.293,.388,.453,97.6,.362,.842,.323,2.96,98,5.4,28.6,2.6,-0.5,2.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,43,Carlos Salinas,,Atlanta,MLB,MLB,10/05/2015,24,VEN,6' 2',195 lbs,Switch,Right,5.0 Stars,5.0 Stars,87,81,73,73,64,80,70,68,62,57,58,60,85,91,77,79,68,86,49,5,Line Drive,Pull,Spray,1,10,1,10,11,1,10,1,10,11,1,10,1,10,11,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,87-89,89-91,3/4,GB'er,1,1,3,2,4,74,37,69,33,33,35,49,70,50,66,62,632,557,.334,.405,.580,133.4,.414,.985,.361,3.68,127,7.7,55.0,-1.9,-2.0,-3.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
