POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
LF,3,Mike Atkins,,New York,MLB,MLB,10/20/2014,27,USA,6' 6',200 lbs,Left,Left,5.0 Stars,5.0 Stars,82,77,87,90,51,74,59,54,65,56,45,49,84,91,94,100,55,86,49,6,Line Drive,Normal,Normal,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,3/4,Normal,1,1,4,4,4,9,7,36,3,69,60,59,71,56,66,81,634,572,.299,.356,.570,121.7,.384,.926,.301,4.19,112,7.0,40.3,4.7,3.0,7.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,32,Alex Briceno,,Indianapolis,MLB,MLB,09/26/2017,24,DOM,6' 6',205 lbs,Right,Right,5.0 Stars,5.0 Stars,74,76,94,93,84,63,88,94,100,100,96,87,73,67,90,83,80,58,27,6,Line Drive,Spray,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,OTT,Normal,1,6,4,1,3,44,40,71,47,34,20,50,52,57,71,83,636,547,.278,.368,.548,110.8,.381,.916,.285,2.71,111,6.8,44.4,-0.6,4.6,4.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,46,Greg Chavarria,,St. Louis,MLB,MLB,03/03/2011,31,VEN,5' 9',185 lbs,Right,Right,5.0 Stars,5.0 Stars,59,59,55,72,79,57,69,79,61,100,93,79,57,55,52,62,74,52,50,9,Line Drive,Spray,Normal,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,88-90,88-90,3/4,Normal,3,5,64,61,61,27,25,52,19,25,33,41,25,17,26,40,525,446,.289,.394,.504,88.3,.381,.899,.321,3.55,92,5.8,31.5,-1.7,0.6,-1.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,48,Koen Gaskell,,New York,MLB,MLB,05/15/2014,28,ARU,6' 3',195 lbs,Right,Right,5.0 Stars,5.0 Stars,91,85,98,79,91,86,100,100,100,100,100,100,79,82,95,67,85,73,71,12,Line Drive,Normal,Pull,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,OTT,Normal,1,1,1,1,2,70,52,53,51,49,28,28,80,65,69,84,637,528,.318,.432,.614,147.9,.435,1.045,.319,4.48,139,10.0,64.2,3.0,2.3,5.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,9,Jimmy Johnston,,Seattle,MLB,MLB,06/30/2015,27,USA,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,73,75,50,86,90,63,93,100,57,100,100,100,69,63,48,72,84,56,28,6,Normal,Normal,Normal,1,1,1,9,1,1,1,1,9,1,1,1,1,9,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,84-86,3/4,Normal,1,9,3,1,2,56,30,62,26,69,25,69,29,13,26,5,631,539,.304,.401,.573,121.2,.407,.974,.318,4.94,124,6.6,54.1,-5.2,-1.0,-6.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,46,Do-hyun Kim,,Cincinnati,MLB,MLB,08/11/2018,24,KOR,6' 1',190 lbs,Right,Right,5.0 Stars,5.0 Stars,95,90,100,68,75,89,100,100,100,94,88,100,86,88,95,61,71,79,27,5,Line Drive,Pull,Normal,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,85-87,3/4,Normal,1,2,1,3,4,61,70,60,64,56,39,50,54,53,70,70,649,566,.325,.407,.569,131.2,.410,.976,.338,6.00,129,6.3,44.6,2.1,1.8,3.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,74,Angel Ramos,,Cincinnati,MLB,MLB,02/06/2012,30,DOM,6' 0',200 lbs,Switch,Left,5.0 Stars,5.0 Stars,67,70,80,100,87,59,55,48,59,60,52,44,77,78,88,100,100,68,28,10,Line Drive,Normal,Spray,1,7,1,9,6,1,7,1,9,7,1,6,1,9,6,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,84-86,84-86,OTT,GB'er,1,1,3,1,4,14,8,14,5,62,46,45,72,59,76,94,662,561,.308,.409,.686,161.6,.448,1.096,.292,7.81,152,7.5,66.0,2.2,3.4,5.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,43,Carlos Salinas,,Atlanta,MLB,MLB,10/05/2015,26,VEN,6' 2',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,90,83,69,73,69,86,71,72,60,57,60,64,87,95,72,79,72,93,51,3,Line Drive,Pull,Spray,1,10,1,10,11,1,10,1,10,11,1,10,1,10,11,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,87-89,89-91,3/4,GB'er,1,1,3,2,4,76,40,72,36,28,31,45,75,50,71,70,651,570,.330,.407,.572,135.5,.415,.979,.338,4.78,132,10.2,56.5,1.1,5.7,6.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,11,Francisco Vargas,,San Diego,MLB,MLB,05/16/2013,29,DOM,6' 3',200 lbs,Right,Right,5.0 Stars,5.0 Stars,83,75,82,83,88,79,96,100,100,100,100,100,69,69,75,67,81,62,29,6,Line Drive,Normal,Spray,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,3/4,Normal,1,1,1,1,4,37,72,55,46,44,44,42,64,20,42,22,658,582,.345,.416,.665,159.5,.449,1.081,.355,6.44,152,8.7,77.6,-2.2,-1.8,-4.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,29,Antonio Charo,,San Diego,MLB,MLB,12/21/2013,28,VEN,6' 3',200 lbs,Left,Right,5.0 Stars,5.0 Stars,81,66,95,59,61,86,56,57,76,46,48,57,71,90,100,66,70,97,50,7,Line Drive,Pull,Normal,1,1,1,13,1,1,1,1,13,1,1,1,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,85-87,85-87,3/4,Normal,1,6,6,11,12,31,19,27,14,75,54,61,83,72,79,100,602,530,.308,.385,.547,120.6,.393,.933,.325,4.16,111,8.5,43.5,6.5,6.4,12.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
