POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
C,33,Tony Butler,,Arizona,MLB,MLB,05/20/2004,26,USA,6' 4',210 lbs,Right,Right,5.0 Stars,5.0 Stars,85,65,41,62,45,94,76,100,43,84,51,100,62,77,40,58,43,85,33,10,Normal,Spray,Pull,1,3,1,13,1,1,3,1,13,1,1,3,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,2,76,74,76,30,6,71,10,28,55,71,10,4,3,9,547,507,.323,.369,.542,98.2,.384,.912,.326,3.57,97,7.0,34.6,-1.1,-2.4,-3.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,6,Elly De La Cruz,,Houston,MLB,MLB,01/11/2002,28,DOM,6' 5',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,63,77,77,98,59,51,70,58,71,85,56,48,79,66,79,100,60,53,47,35,Line Drive,Pull,Pull,1,1,1,48,1,1,1,1,47,1,1,1,1,49,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,OTT,Normal,2,-,1,1,2,75,58,95,72,38,36,74,100,100,100,89,644,558,.281,.370,.570,126.2,.391,.939,.311,4.35,118,8.3,43.8,5.5,2.9,8.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,15,Leodalis De Vries,,San Diego,MLB,MLB,10/11/2006,23,DOM,6' 2',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,71,82,63,92,51,56,92,83,65,100,52,62,79,66,62,88,50,53,65,48,Line Drive,Normal,Normal,1,1,1,39,1,1,1,1,38,1,1,1,1,41,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,83-85,83-85,3/4,Normal,6,9,2,-,4,75,71,67,64,70,59,58,80,71,72,80,661,592,.307,.378,.611,130.5,.408,.990,.324,5.45,131,9.5,56.2,-1.9,3.1,1.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,23,Michael Harris II,,Atlanta,MLB,MLB,03/07/2001,29,USA,6' 0',160 lbs,Left,Left,5.0 Stars,5.0 Stars,94,86,68,61,37,89,80,84,62,55,35,76,88,97,70,63,38,93,63,39,Line Drive,Normal,Normal,1,9,1,51,1,1,12,3,54,1,1,8,1,50,1,13,-,1,8,-,-,-,-,-,-,-,-,3,FB,89-91,90-92,3/4,Normal,58,52,3,3,2,11,22,57,7,94,60,77,75,64,84,88,683,629,.334,.378,.587,141.7,.396,.964,.345,3.87,128,9.2,49.0,1.0,-0.9,0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,35,Yandel Ricardo,,Kansas City,MLB,MLB,10/06/2006,23,DOM,6' 1',195 lbs,Switch,Right,5.0 Stars,5.0 Stars,69,70,78,90,69,62,77,80,100,100,90,72,67,66,71,86,63,60,64,45,Line Drive,Normal,Normal,1,1,1,40,1,1,1,1,39,1,1,1,1,42,1,10,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,87-89,87-89,3/4,Normal,8,5,2,-,3,74,69,76,63,67,54,69,71,65,71,85,647,559,.297,.385,.537,120.8,.384,.922,.325,3.09,115,7.4,37.7,0.5,-0.7,-0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,44,Julio Rodriguez,,Seattle,MLB,MLB,12/29/2000,29,DOM,6' 3',215 lbs,Right,Right,5.0 Stars,5.0 Stars,83,90,62,67,53,62,95,90,66,77,58,71,88,79,61,64,52,60,58,34,Line Drive,Normal,Normal,1,1,1,41,1,1,1,1,41,1,1,1,1,41,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,90-92,90-92,3/4,Normal,1,-,1,1,2,11,15,34,9,84,83,65,94,71,90,90,648,593,.327,.373,.573,126.0,.395,.947,.373,3.29,121,8.4,49.6,0.5,1.2,1.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,89,Sebastian Walcott,,Texas,MLB,MLB,03/14/2006,24,BAH,6' 4',200 lbs,Right,Right,5.0 Stars,5.0 Stars,93,95,86,100,73,78,92,100,95,100,87,95,97,91,82,94,68,72,46,30,Line Drive,Normal,Normal,1,1,1,49,1,1,1,1,47,1,1,1,1,51,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,3/4,Normal,4,-,1,1,1,68,64,79,67,54,47,73,71,75,77,82,658,588,.344,.407,.692,162.3,.446,1.099,.357,5.78,150,10.7,73.1,-0.3,-0.3,-0.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,7,Bobby Witt Jr.,,Kansas City,MLB,MLB,06/14/2000,30,USA,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,76,62,82,58,45,83,62,77,83,59,45,84,62,76,82,58,45,83,59,45,Line Drive,Pull,Pull,1,14,1,49,1,1,13,1,47,1,1,15,1,51,1,24,-,-,-,-,-,-,-,-,-,-,-,1,FB,92-94,92-94,3/4,Normal,38,33,2,2,2,83,79,84,75,44,46,64,100,82,85,97,636,565,.297,.363,.524,107.9,.372,.887,.320,4.27,107,8.1,31.0,1.2,4.3,5.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,11,Jackson Chourio,,Milwaukee,MLB,MLB,03/11/2004,26,VEN,5' 11',190 lbs,Right,Right,4.5 Stars,5.0 Stars,75,75,55,71,55,66,77,79,56,76,56,71,74,74,55,69,55,64,59,41,Line Drive,Normal,Normal,1,1,1,43,1,1,1,1,41,1,1,1,1,44,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,3/4,Normal,5,-,1,1,1,58,54,56,50,65,83,64,99,84,92,87,655,588,.293,.359,.498,106.9,.361,.857,.333,3.41,104,5.3,28.5,4.4,2.4,6.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CL,21,Jhoan Duran,,Los Angeles,MLB,MLB,01/08/1998,32,DOM,6' 5',215 lbs,Right,Right,4.5 Stars,4.5 Stars,3,4,1,1,3,4,5,5,1,1,7,6,4,3,1,1,3,3,41,3,Flyball,Normal,Normal,77,84,55,52,98,74,83,55,51,97,79,87,56,52,100,100,-,100,-,100,-,-,-,-,-,-,-,3,EX GB,99-101,99-101,OTT,Power,14,49,3,3,1,13,23,48,12,8,8,25,22,45,6,25,0,0,.000,.000,.000,0.0,.000,.000,.000,0.00,0,0.0,-0.0,0.0,0.0,0.0,32,4,57.2,13,2.03,2.17,1.7,2.5,1.7,2.68
