POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
1B,23,Cesar Aguayo,,Memphis,MLB,MLB,07/01/2020,25,DOM,6' 3',205 lbs,Switch,Left,5.0 Stars,5.0 Stars,80,70,96,100,98,79,53,50,67,57,70,48,79,92,100,100,100,94,17,8,Line Drive,Spray,Pull,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,85-87,85-87,3/4,Normal,1,4,3,2,3,35,29,31,28,17,34,13,42,14,4,16,662,559,.343,.435,.728,180.6,.475,1.163,.304,7.30,165,10.8,93.0,-1.5,0.8,-0.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,27,Mike Atkins,,Los Angeles,MLB,MLB,10/20/2014,30,USA,6' 6',200 lbs,Left,Left,5.0 Stars,5.0 Stars,78,70,87,86,52,77,56,52,65,54,45,50,76,88,94,98,55,89,45,3,Line Drive,Normal,Normal,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,3/4,Normal,1,1,4,4,4,7,7,31,3,69,60,59,72,57,73,88,616,548,.347,.407,.644,150.8,.438,1.052,.335,6.79,135,8.9,64.2,3.9,3.2,7.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,32,Alex Briceno,,Indianapolis,MLB,MLB,09/26/2017,27,DOM,6' 6',205 lbs,Right,Right,5.0 Stars,5.0 Stars,81,80,100,84,92,71,93,100,100,100,100,97,76,74,98,75,88,63,30,3,Line Drive,Spray,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,OTT,Normal,1,6,4,1,3,45,40,71,47,31,18,47,63,62,74,88,666,548,.303,.420,.573,142.0,.419,.993,.323,4.95,136,9.4,66.4,2.1,4.5,6.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,48,Koen Gaskell,,New York,MLB,MLB,05/15/2014,31,ARU,6' 3',195 lbs,Right,Right,5.0 Stars,5.0 Stars,87,82,94,97,90,81,100,100,100,100,100,100,76,78,91,83,84,69,75,14,Line Drive,Normal,Pull,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,OTT,Normal,1,1,1,1,2,70,52,53,51,41,22,23,81,69,75,95,635,559,.342,.411,.669,157.1,.439,1.080,.353,6.33,140,11.0,65.6,3.9,4.1,8.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,46,Do-hyun Kim,,Cincinnati,MLB,MLB,08/11/2018,27,KOR,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,90,83,94,67,74,86,97,100,100,93,87,100,79,83,89,60,70,75,29,4,Line Drive,Pull,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,85-87,3/4,Normal,1,2,1,3,4,62,71,61,65,56,37,47,65,60,73,77,642,561,.307,.385,.558,121.4,.396,.943,.310,3.73,119,6.9,36.4,2.6,5.5,8.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,43,Carlos Salinas,,Atlanta,MLB,MLB,10/05/2015,29,VEN,6' 2',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,87,79,60,67,77,83,67,67,54,54,66,62,83,92,62,73,81,90,50,6,Line Drive,Pull,Spray,1,4,1,6,3,1,4,1,6,3,1,4,1,6,3,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,89-91,3/4,Normal,1,1,3,2,4,73,43,73,39,26,26,42,64,47,66,69,646,557,.327,.407,.531,127.9,.389,.939,.354,5.63,116,7.8,42.2,2.5,0.2,2.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,16,Francisco Vargas,,Los Angeles,MLB,MLB,05/16/2013,32,DOM,6' 3',200 lbs,Right,Right,5.0 Stars,5.0 Stars,83,72,75,79,90,83,92,100,95,100,100,100,65,69,68,62,82,66,28,7,Line Drive,Normal,Spray,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,3/4,Normal,1,1,1,1,4,37,72,55,46,39,39,40,62,17,38,26,666,557,.293,.399,.528,124.6,.397,.927,.308,5.77,124,5.3,46.9,0.2,-4.8,-4.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,46,Manuel Velez,,Memphis,MLB,MLB,11/06/2021,23,DOM,5' 10',180 lbs,Left,Left,5.0 Stars,5.0 Stars,94,88,80,100,65,88,64,59,59,59,52,53,97,100,88,100,72,100,52,7,Line Drive,Spray,Spray,1,1,1,14,1,1,1,1,14,1,1,1,1,14,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,SIDE,Normal,1,1,2,3,1,16,9,32,3,50,67,47,46,39,42,42,635,554,.319,.398,.587,134.2,.416,.985,.321,4.54,128,4.9,59.0,-1.9,-3.7,-5.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,18,Jimmy Johnston,,New York,MLB,MLB,06/30/2015,30,USA,6' 2',200 lbs,Right,Right,4.5 Stars,4.5 Stars,68,69,50,77,83,61,86,95,57,100,100,93,63,60,48,63,76,54,33,5,Line Drive,Normal,Normal,1,1,1,9,1,1,1,1,9,1,1,1,1,9,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,84-86,3/4,Normal,1,9,3,1,2,56,30,62,26,69,25,69,27,13,29,4,625,533,.272,.379,.523,106.8,.384,.903,.280,3.24,110,5.7,41.8,-0.9,-0.3,-1.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,29,Antonio Charo,,San Diego,MLB,MLB,12/21/2013,31,VEN,6' 3',200 lbs,Left,Right,4.5 Stars,4.5 Stars,74,61,90,56,57,81,52,53,71,45,45,55,65,83,95,61,62,91,49,4,Line Drive,Pull,Normal,1,1,1,13,1,1,1,1,13,1,1,1,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,85-87,85-87,3/4,Normal,1,6,6,11,12,26,13,20,10,75,54,61,83,76,80,100,612,549,.281,.350,.472,98.6,.350,.821,.305,1.94,91,6.0,22.5,8.7,4.0,12.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
