POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
1B,23,Cesar Aguayo,,Memphis,MLB,MLB,07/01/2020,29,DOM,6' 3',200 lbs,Switch,Left,5.0 Stars,5.0 Stars,67,54,84,88,93,84,45,47,60,51,66,49,58,81,93,100,100,100,16,5,Line Drive,Spray,Pull,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,85-87,85-87,3/4,Normal,1,4,3,2,3,34,29,30,27,12,28,10,45,15,2,24,662,542,.297,.409,.568,130.2,.409,.978,.285,4.62,129,7.4,58.2,0.0,-0.0,-0.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,35,Arturo Bautista,,Toronto,MLB,MLB,11/26/2022,26,VEN,6' 2',200 lbs,Left,Left,5.0 Stars,5.0 Stars,87,75,50,83,54,88,49,46,40,43,35,44,87,100,55,100,65,100,44,9,Line Drive,Ex. Pull,Spray,1,1,1,12,1,1,2,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,83-85,83-85,SIDE,Normal,1,2,7,6,11,24,12,46,7,57,35,54,28,7,3,3,604,540,.348,.399,.606,131.6,.419,1.005,.340,5.24,122,6.1,55.0,0.0,-2.3,-2.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,32,Alex Briceno,,Indianapolis,MLB,MLB,09/26/2017,31,DOM,6' 6',205 lbs,Right,Right,5.0 Stars,5.0 Stars,79,68,88,84,66,81,79,100,100,100,76,100,64,72,84,75,62,72,28,1,Line Drive,Spray,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,OTT,Normal,1,6,4,1,3,44,40,71,47,27,16,45,62,61,76,91,650,557,.291,.378,.515,113.4,.377,.894,.296,5.03,110,6.6,43.3,3.3,2.4,5.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,17,Ryan Goodman,,Miami,MLB,MLB,11/29/2023,25,USA,6' 2',200 lbs,Right,Left,5.0 Stars,5.0 Stars,86,73,61,97,66,89,95,100,79,100,100,100,66,77,57,77,55,81,26,5,Line Drive,Spray,Spray,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,SIDE,Normal,1,1,3,2,1,38,34,28,4,53,41,59,41,22,38,4,652,563,.311,.402,.549,121.3,.395,.951,.313,3.32,120,5.9,45.0,-1.8,0.4,-1.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,9,Juan Guerra,,New York,MLB,MLB,03/07/2026,23,VEN,5' 9',170 lbs,Left,Right,5.0 Stars,5.0 Stars,72,72,66,73,76,64,52,47,50,45,46,43,81,86,75,88,93,79,34,7,Line Drive,Normal,Normal,1,1,1,16,1,1,1,1,16,1,1,1,1,16,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,86-88,86-88,3/4,Normal,1,1,1,3,2,70,58,74,46,30,34,46,49,25,10,16,621,519,.299,.403,.528,116.6,.393,.931,.319,2.69,113,7.6,44.5,-1.6,0.4,-1.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,16,Heliodoro Jotta,,Seattle,MLB,MLB,09/05/2023,26,USA,6' 2',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,86,83,92,74,83,77,100,100,100,90,100,100,77,75,86,69,78,64,16,12,Line Drive,Pull,Normal,1,4,1,9,3,1,4,1,9,3,1,4,1,9,3,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,1,6,5,9,60,53,56,50,47,39,54,38,33,46,68,630,537,.274,.381,.492,102.0,.371,.873,.306,4.65,104,5.3,36.4,-2.9,0.8,-2.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,46,Do-hyun Kim,,Cincinnati,MLB,MLB,08/11/2018,31,KOR,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,83,75,84,65,73,80,87,100,97,91,86,100,70,75,79,59,69,71,29,4,Line Drive,Pull,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,85-87,3/4,Normal,1,2,1,3,4,62,71,61,65,48,27,40,74,59,76,91,623,525,.314,.411,.564,135.5,.411,.975,.318,6.55,123,8.6,43.8,7.4,3.0,10.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,56,Bruce Valencia,,St. Louis,MLB,MLB,06/02/2026,23,VEN,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,84,88,100,98,90,67,100,100,100,100,100,94,83,76,100,94,86,60,30,3,Line Drive,Pull,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,88-90,88-90,3/4,Normal,1,1,3,1,2,31,25,15,23,61,40,30,77,57,68,75,674,548,.288,.411,.575,133.5,.414,.986,.287,4.47,134,7.2,58.5,0.5,3.6,4.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,46,Manuel Velez,,Memphis,MLB,MLB,11/06/2021,27,DOM,5' 10',195 lbs,Left,Left,5.0 Stars,5.0 Stars,81,69,61,82,66,84,53,52,50,51,52,51,75,93,66,96,73,100,53,5,Line Drive,Spray,Spray,1,1,1,14,1,1,1,1,14,1,1,1,1,14,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,SIDE,Normal,1,1,2,3,1,10,8,27,4,50,67,48,48,39,48,59,621,538,.320,.396,.584,129.7,.412,.980,.317,6.50,123,7.2,56.3,-2.0,-0.5,-2.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,7,Tom Heyer,,Los Angeles,MLB,MLB,08/31/2021,28,USA,6' 1',205 lbs,Left,Right,5.0 Stars,5.0 Stars,63,64,90,76,82,59,53,49,69,59,63,46,70,72,96,81,88,66,44,6,Line Drive,Normal,Normal,1,3,1,13,1,1,3,1,13,1,1,3,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,89-91,91-93,3/4,Normal,1,5,1,1,1,58,60,73,38,32,28,52,41,13,6,4,621,527,.292,.388,.539,117.2,.390,.927,.333,2.41,112,5.3,41.1,-1.9,-2.7,-4.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
