POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
LF,3,Mike Atkins,,New York,MLB,MLB,10/20/2014,26,USA,6' 6',200 lbs,Left,Left,5.0 Stars,5.0 Stars,81,76,87,88,53,77,58,54,65,55,46,50,83,91,94,100,56,88,49,6,Line Drive,Normal,Normal,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,3/4,Normal,1,1,4,4,4,9,7,37,3,69,60,59,69,53,63,81,634,561,.316,.390,.642,142.7,.426,1.031,.306,6.06,133,8.5,63.2,-0.7,-0.1,-0.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,32,Alex Briceno,,Indianapolis,MLB,MLB,09/26/2017,23,DOM,6' 6',200 lbs,Right,Right,5.0 Stars,5.0 Stars,77,79,95,91,80,65,90,95,100,100,92,88,74,69,90,81,76,59,26,7,Line Drive,Spray,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,OTT,Normal,1,6,4,1,3,44,40,71,47,34,20,50,50,58,72,82,654,548,.294,.393,.549,126.2,.389,.942,.326,3.42,118,7.1,51.0,0.5,3.2,3.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,46,Greg Chavarria,,St. Louis,MLB,MLB,03/03/2011,30,VEN,5' 9',185 lbs,Right,Right,5.0 Stars,5.0 Stars,62,60,55,77,77,62,70,86,61,100,91,90,58,58,52,67,73,57,49,8,Line Drive,Spray,Normal,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,89-91,89-91,3/4,Normal,1,5,66,63,63,27,25,52,19,25,33,41,25,19,27,39,523,455,.295,.379,.512,87.1,.373,.891,.331,3.18,88,5.0,28.9,-1.9,-3.5,-5.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,3,J.J. Garton,,St. Louis,MLB,MLB,05/09/2016,25,USA,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,78,89,57,68,60,58,100,99,63,95,70,80,84,70,55,61,58,53,18,4,Line Drive,Normal,Spray,1,6,1,2,8,1,6,1,2,8,1,6,1,2,8,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,SIDE,Normal,1,8,1,5,1,75,88,50,61,49,67,49,59,40,40,47,641,571,.308,.374,.524,111.8,.379,.898,.354,2.37,111,7.8,38.8,-1.9,-1.0,-2.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,48,Koen Gaskell,,New York,MLB,MLB,05/15/2014,27,ARU,6' 3',200 lbs,Right,Right,5.0 Stars,5.0 Stars,90,83,96,76,93,86,100,100,100,100,100,100,77,80,93,64,87,73,70,13,Line Drive,Normal,Pull,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,OTT,Normal,1,1,1,1,2,70,52,53,51,51,31,29,76,64,63,80,634,541,.320,.415,.586,136.0,.412,1.001,.333,4.27,126,8.4,53.0,-0.5,2.4,1.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,9,Jimmy Johnston,,Seattle,MLB,MLB,06/30/2015,26,USA,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,69,71,50,93,91,60,88,97,57,100,100,93,66,60,48,79,84,54,29,6,Normal,Normal,Normal,1,1,1,9,1,1,1,1,9,1,1,1,1,9,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,84-86,3/4,Normal,1,9,3,1,2,56,30,62,26,69,25,69,28,11,25,4,604,530,.332,.404,.617,131.9,.423,1.021,.337,5.03,126,7.6,60.7,-2.7,-2.4,-5.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,74,Angel Ramos,,Cincinnati,MLB,MLB,02/06/2012,29,DOM,6' 0',200 lbs,Switch,Left,5.0 Stars,5.0 Stars,63,66,77,100,81,58,52,47,58,60,50,43,73,74,84,100,94,66,27,9,Line Drive,Normal,Spray,1,6,1,9,6,1,7,1,9,6,1,6,1,9,5,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,84-86,84-86,OTT,GB'er,1,1,3,1,4,14,8,14,5,62,45,45,71,59,76,90,662,564,.268,.367,.592,132.4,.398,.959,.252,5.04,124,6.4,40.3,7.6,3.0,10.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,30,Bobby Rangel,,Detroit,MLB,MLB,04/21/2011,30,DOM,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,90,80,72,52,91,87,90,100,81,62,100,100,76,83,69,50,87,80,53,4,Line Drive,Normal,Pull,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,3/4,Normal,1,4,1,1,1,64,69,61,61,37,24,53,86,54,67,97,628,531,.282,.387,.403,87.9,.346,.790,.314,2.20,92,4.3,21.8,0.5,2.1,2.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,43,Carlos Salinas,,Atlanta,MLB,MLB,10/05/2015,25,VEN,6' 2',195 lbs,Switch,Right,5.0 Stars,5.0 Stars,87,80,71,72,65,84,68,69,61,57,58,62,84,93,74,79,69,91,50,4,Line Drive,Pull,Spray,1,10,1,10,11,1,10,1,10,11,1,10,1,10,11,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,87-89,89-91,3/4,GB'er,1,1,3,2,4,75,37,69,33,32,34,49,76,50,72,68,639,564,.342,.416,.629,151.9,.438,1.046,.354,7.08,141,10.8,68.8,3.7,1.1,4.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,8,Bronson Smith,,New York,MLB,MLB,03/26/2012,29,USA,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,86,83,60,71,91,76,95,100,68,95,100,100,79,79,58,63,87,67,18,3,Line Drive,Pull,Normal,1,3,1,15,1,1,3,1,15,1,1,3,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,89-91,91-93,3/4,Normal,1,2,1,4,3,46,35,37,26,22,15,29,57,21,23,56,665,555,.315,.427,.508,126.6,.400,.935,.351,4.53,126,6.4,52.3,-1.6,-1.2,-2.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
