POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
C,33,Tony Butler,,Arizona,MLB,MLB,05/20/2004,28,USA,6' 4',200 lbs,Right,Right,5.0 Stars,5.0 Stars,82,61,42,65,46,97,69,100,45,88,52,100,59,75,42,60,44,88,36,9,Line Drive,Spray,Pull,1,3,1,13,1,1,3,1,13,1,1,3,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,2,76,74,76,26,6,67,7,25,53,67,10,3,5,10,575,516,.320,.381,.494,94.9,.375,.875,.339,2.02,98,6.9,31.8,0.0,-3.1,-3.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,6,Elly De La Cruz,,Houston,MLB,MLB,01/11/2002,30,DOM,6' 5',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,63,79,91,100,60,50,73,58,84,86,57,47,80,65,94,100,62,51,44,37,Line Drive,Pull,Pull,1,1,1,48,1,1,1,1,47,1,1,1,1,49,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,OTT,Normal,2,-,1,1,2,76,58,95,72,36,33,71,100,100,100,99,630,539,.282,.381,.581,126.2,.395,.962,.317,3.39,117,7.6,44.4,6.8,0.7,7.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,15,Leodalis De Vries,,San Diego,MLB,MLB,10/11/2006,25,DOM,6' 2',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,70,85,60,93,51,53,95,83,62,100,52,59,81,65,60,90,50,51,65,48,Line Drive,Normal,Normal,1,1,1,39,1,1,1,1,38,1,1,1,1,41,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,83-85,83-85,3/4,Normal,6,9,2,-,4,76,71,67,64,70,57,57,80,72,76,91,641,585,.304,.362,.585,125.9,.397,.947,.328,6.55,120,8.7,47.9,1.2,0.5,1.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,23,Michael Harris II,,Atlanta,MLB,MLB,03/07/2001,31,USA,6' 0',160 lbs,Left,Left,5.0 Stars,5.0 Stars,91,83,70,71,38,87,77,81,63,61,35,74,85,94,72,74,39,91,68,42,Line Drive,Normal,Normal,1,10,2,51,1,1,12,4,54,1,1,8,1,50,1,14,-,1,9,-,-,-,-,-,-,-,-,3,FB,89-91,89-91,3/4,Normal,58,52,3,3,2,10,16,51,7,94,60,77,76,62,83,87,655,609,.340,.382,.637,150.0,.417,1.019,.343,7.16,134,10.5,58.2,4.3,2.2,6.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,35,Yandel Ricardo,,Kansas City,MLB,MLB,10/06/2006,25,DOM,6' 1',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,70,75,73,90,72,60,82,80,93,100,93,67,73,67,66,86,65,58,61,44,Line Drive,Normal,Normal,1,1,1,40,1,1,1,1,39,1,1,1,1,42,1,11,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,87-89,87-89,3/4,Normal,8,5,2,-,3,74,69,76,63,64,52,67,74,68,72,89,660,578,.327,.408,.616,148.6,.418,1.023,.354,8.26,135,9.4,56.6,1.3,-0.4,0.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,9,Marcos Villareal,,Los Angeles,MLB,MLB,08/19/2008,24,DOM,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,65,56,53,100,92,74,66,84,61,100,100,91,53,60,51,100,88,69,20,3,Line Drive,Pull,Normal,1,2,1,1,3,1,2,1,1,3,1,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,86-88,88-90,SIDE,GB'er,1,5,1,1,1,43,31,54,58,28,16,34,27,42,47,59,701,590,.308,.408,.651,152.0,.430,1.059,.294,8.57,151,7.5,65.8,-2.7,-1.3,-4.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,89,Sebastian Walcott,,Texas,MLB,MLB,03/14/2006,26,BAH,6' 4',200 lbs,Right,Right,5.0 Stars,5.0 Stars,81,80,73,100,75,72,77,88,82,100,90,88,80,79,70,93,70,66,48,31,Line Drive,Normal,Normal,1,1,1,49,1,1,1,1,47,1,1,1,1,51,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,3/4,Normal,4,-,1,1,1,68,64,79,67,51,43,72,75,79,78,86,661,576,.292,.375,.573,122.9,.388,.948,.310,5.30,120,7.0,42.0,0.0,0.4,0.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SP,11,Noriyoshi Maekawa,,Minnesota,MLB,MLB,09/23/2010,22,JPN,6' 1',190 lbs,Right,Right,4.5 Stars,5.0 Stars,1,8,1,1,1,1,10,8,1,1,1,2,5,1,1,1,1,1,41,1,Groundball,Normal,Normal,100,58,53,55,59,100,57,54,53,58,100,59,53,57,60,100,50,-,-,100,-,100,-,-,-,51,-,5,GB,97-99,97-99,3/4,Power,52,69,2,3,4,25,7,48,21,47,35,48,8,15,1,36,53,52,.096,.113,.096,0.4,.096,.209,.227,-0.88,-3,-0.8,-9.1,0.0,-0.1,-0.1,0,0,202.0,67,2.99,2.93,2.6,5.7,5.8,2.03
SP,16,Tom Muske,,Houston,MLB,MLB,03/08/2009,23,USA,6' 2',180 lbs,Right,Right,4.5 Stars,4.5 Stars,1,3,1,12,24,1,6,3,1,15,30,1,1,1,1,11,22,1,82,8,Flyball,Normal,Normal,68,86,84,52,100,62,90,87,53,100,73,84,83,52,98,58,100,62,29,-,-,-,-,-,-,-,-,4,GB,91-93,93-95,OTT,GB'er,73,80,2,1,2,21,34,35,6,33,28,28,4,2,5,9,64,63,.095,.094,.143,1.0,.100,.237,.192,-0.87,-3,-0.6,-10.9,0.0,0.1,0.1,0,0,225.0,46,1.84,2.36,5.1,8.5,10.2,2.70
1B,1,Luis Cruz,,Colorado,MLB,MLB,03/17/2010,22,DOM,6' 4',205 lbs,Right,Right,4.5 Stars,4.5 Stars,100,87,58,62,46,100,97,100,62,80,48,100,83,97,56,58,45,100,48,2,Line Drive,Spray,Normal,1,12,1,8,14,1,12,1,8,14,1,12,1,8,14,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,91-93,3/4,Normal,1,7,3,1,2,78,76,38,56,27,34,24,42,41,63,42,685,609,.315,.380,.493,112.2,.370,.872,.326,1.76,114,4.0,23.6,-3.3,1.4,-1.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,29,Jacob Lombard,,Chicago,MLB,MLB,09/27/2007,25,USA,6' 2',200 lbs,Right,Right,4.5 Stars,5.0 Stars,69,86,61,60,69,51,100,82,80,65,84,56,82,65,57,58,64,50,63,60,Line Drive,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,88-90,88-90,OTT,Normal,4,1,2,-,4,81,73,70,71,64,59,71,73,64,82,96,674,577,.277,.375,.461,106.6,.360,.836,.344,1.83,107,6.7,25.1,-0.3,2.2,1.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,11,Jackson Chourio,,Milwaukee,MLB,MLB,03/11/2004,28,VEN,5' 11',200 lbs,Right,Right,4.5 Stars,4.5 Stars,71,77,52,70,58,60,79,76,53,74,59,62,76,70,51,68,58,59,61,42,Line Drive,Normal,Normal,1,1,1,43,1,1,1,1,41,1,1,1,1,44,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,3/4,Normal,5,-,1,1,1,57,50,55,47,65,83,65,97,85,99,95,659,591,.283,.349,.521,107.2,.368,.870,.300,3.10,108,5.0,32.1,-0.1,2.9,2.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,47,Jose Familia,,Philadelphia,MLB,MLB,08/16/2007,25,DOM,6' 2',190 lbs,Left,Right,4.5 Stars,4.5 Stars,59,66,50,77,70,51,53,50,43,56,62,49,73,63,52,84,73,53,51,38,Normal,Normal,Normal,1,1,1,46,1,1,1,1,45,1,1,1,1,46,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,OTT,Normal,1,-,1,-,1,69,66,56,66,62,46,49,78,46,55,89,635,552,.290,.373,.542,116.5,.383,.915,.323,4.13,112,6.4,37.5,-2.0,3.4,1.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,17,Jonah Foley,,Houston,MLB,MLB,10/14/2008,23,USA,6' 2',195 lbs,Right,Right,4.5 Stars,4.5 Stars,61,72,79,84,48,52,86,84,86,100,50,69,67,57,76,80,48,48,12,2,Line Drive,Normal,Normal,1,10,1,1,12,1,10,1,1,12,1,10,1,1,12,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,88-90,90-92,3/4,GB'er,1,2,1,1,1,16,13,26,6,73,62,59,72,77,84,92,636,577,.281,.344,.588,118.8,.386,.932,.306,1.37,114,6.0,40.4,2.4,0.8,3.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,44,Julio Rodriguez,,Seattle,MLB,MLB,12/29/2000,31,DOM,6' 3',215 lbs,Right,Right,4.5 Stars,4.5 Stars,70,85,61,67,52,53,90,79,65,77,56,58,83,67,60,63,50,52,61,36,Line Drive,Normal,Normal,1,1,1,38,1,1,1,1,38,1,1,1,1,38,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,90-92,90-92,3/4,Normal,1,-,1,1,2,9,14,34,9,77,83,65,80,71,81,96,640,574,.291,.352,.495,102.4,.360,.846,.337,2.81,101,6.3,30.3,1.6,2.0,3.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,31,Alex Harrington,,Kansas City,MLB,MLB,05/20/2007,25,USA,6' 2',190 lbs,Right,Right,4.0 Stars,4.0 Stars,68,75,56,52,47,58,80,78,58,55,49,65,73,65,55,51,47,56,61,42,Line Drive,Pull,Pull,1,1,1,48,1,1,1,1,46,1,1,1,1,50,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,3/4,Normal,1,4,1,1,1,92,94,76,83,58,53,55,70,62,76,93,283,258,.244,.311,.426,32.6,.319,.737,.298,-1.03,35,1.5,1.5,-1.3,-0.4,-1.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SP,13,Vinny Lopes,,San Francisco,MLB,MLB,09/29/2009,23,PAN,6' 1',185 lbs,Right,Right,4.0 Stars,4.5 Stars,11,19,1,1,5,1,21,13,1,9,11,3,18,11,1,1,2,1,32,4,Normal,Normal,Pull,100,69,55,61,72,90,62,53,59,63,100,74,57,64,78,100,100,-,-,100,-,-,-,-,-,-,-,3,NEU,99-101,99-101,3/4,Power,61,75,3,1,4,25,24,35,12,48,40,40,14,10,6,42,9,9,.000,.000,.000,0.0,.000,.000,.000,-0.16,-1,-0.2,-2.2,0.0,0.0,0.0,0,0,214.1,64,2.69,2.44,3.5,7.4,7.0,2.36
