POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
1B,35,Arturo Bautista,,Toronto,MLB,MLB,11/26/2022,27,VEN,6' 2',200 lbs,Left,Left,5.0 Stars,5.0 Stars,86,78,49,84,56,82,50,46,39,43,36,43,91,100,53,100,66,100,44,9,Line Drive,Ex. Pull,Spray,1,2,1,12,1,1,3,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,83-85,83-85,SIDE,Normal,1,2,7,6,11,24,12,46,7,57,35,55,29,5,2,3,607,528,.303,.387,.544,113.6,.395,.931,.304,3.93,111,4.3,42.4,0.0,-4.0,-4.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,32,Alex Briceno,,Indianapolis,MLB,MLB,09/26/2017,32,DOM,6' 6',205 lbs,Right,Right,5.0 Stars,5.0 Stars,75,64,73,84,63,79,75,96,85,100,73,100,61,68,69,75,61,69,29,1,Line Drive,Spray,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,80-83,80-83,OTT,Normal,1,6,4,1,3,44,40,71,47,27,16,45,61,61,75,92,651,563,.307,.393,.565,132.2,.402,.958,.319,4.82,123,8.0,55.8,3.5,-0.2,3.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,17,Ryan Goodman,,Miami,MLB,MLB,11/29/2023,26,USA,6' 2',200 lbs,Right,Left,5.0 Stars,5.0 Stars,83,72,60,94,65,84,94,100,77,100,100,100,65,74,56,75,54,76,25,6,Line Drive,Spray,Spray,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,SIDE,Normal,1,1,3,2,1,38,34,28,4,53,41,59,44,23,39,4,638,547,.340,.426,.665,158.3,.454,1.092,.342,7.69,148,8.8,73.7,-2.0,-0.9,-2.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,9,Juan Guerra,,New York,MLB,MLB,03/07/2026,24,VEN,5' 9',175 lbs,Left,Right,5.0 Stars,5.0 Stars,86,73,69,78,77,89,53,50,51,46,46,49,81,100,78,93,93,100,32,7,Line Drive,Normal,Normal,1,1,1,16,1,1,1,1,16,1,1,1,1,16,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,86-88,86-88,3/4,Normal,1,1,1,3,2,70,58,74,46,30,34,46,51,25,9,21,613,525,.335,.419,.592,134.6,.417,1.012,.349,4.73,124,9.2,54.9,-1.1,1.9,0.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,16,Heliodoro Jotta,,Seattle,MLB,MLB,09/05/2023,27,USA,6' 2',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,86,81,91,76,82,79,99,100,100,92,98,100,75,75,84,71,76,66,17,12,Line Drive,Pull,Normal,1,5,1,9,3,1,5,1,9,3,1,5,1,9,3,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,1,6,5,9,60,53,56,50,45,37,52,39,33,47,71,635,523,.342,.449,.602,142.5,.440,1.051,.355,6.33,140,9.0,70.9,-2.0,-1.8,-3.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,46,Do-hyun Kim,,Cincinnati,MLB,MLB,08/11/2018,32,KOR,6' 1',195 lbs,Right,Right,5.0 Stars,5.0 Stars,79,72,77,61,81,76,85,100,90,85,94,100,69,70,73,57,76,66,29,5,Line Drive,Pull,Normal,1,6,1,3,8,1,7,1,3,8,1,6,1,3,8,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,85-87,85-87,3/4,GB'er,1,2,1,3,4,51,71,61,65,43,27,40,51,53,64,85,638,561,.287,.356,.478,100.7,.355,.834,.315,2.09,96,4.1,14.4,5.2,0.5,5.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,18,Marcos Soto,,San Antonio,MLB,MLB,05/31/2024,26,VEN,5' 10',185 lbs,Switch,Right,5.0 Stars,5.0 Stars,87,85,62,56,88,78,94,100,69,63,100,95,82,83,61,53,83,72,60,5,Line Drive,Spray,Normal,1,2,1,4,2,1,2,1,4,2,1,2,1,4,2,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,85-87,SIDE,Normal,1,1,4,2,5,34,35,26,23,81,50,54,78,56,54,84,635,546,.288,.381,.502,108.7,.377,.883,.296,3.47,107,7.4,37.2,0.8,1.5,2.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,56,Bruce Valencia,,St. Louis,MLB,MLB,06/02/2026,24,VEN,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,80,83,94,94,88,66,97,100,100,100,100,93,78,72,93,89,84,59,30,5,Line Drive,Pull,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,88-90,88-90,3/4,Normal,1,1,3,1,2,32,25,15,23,62,40,30,77,56,68,76,645,551,.296,.394,.593,130.1,.414,.987,.307,4.18,129,7.2,55.3,-0.4,2.5,2.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,35,Alejandro Nava,,Cincinnati,MLB,MLB,08/22/2019,31,VEN,6' 4',195 lbs,Right,Right,5.0 Stars,5.0 Stars,88,79,60,56,88,85,89,100,66,67,98,100,76,83,58,53,84,78,22,12,Line Drive,Spray,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,89-91,89-91,3/4,Normal,1,2,2,3,1,75,50,41,55,20,23,50,78,53,71,79,644,552,.279,.376,.447,102.5,.358,.823,.311,2.43,99,6.2,16.1,5.1,1.1,6.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,1,Jinjun Hoff,,Kansas City,MLB,MLB,05/31/2024,26,USA,6' 2',200 lbs,Right,Right,4.5 Stars,4.5 Stars,49,46,64,75,48,55,50,61,77,100,52,78,44,47,61,64,46,50,34,3,Flyball,Pull,Spray,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,90-92,90-92,3/4,Normal,1,15,63,76,64,18,9,47,26,44,35,53,28,44,48,44,306,262,.267,.366,.550,53.7,.390,.916,.276,0.54,55,3.4,18.9,-1.2,-0.6,-1.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
