POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
LF,3,Mike Atkins,,New York,MLB,MLB,10/20/2014,24,USA,6' 6',210 lbs,Left,Left,5.0 Stars,5.0 Stars,80,74,100,91,56,75,58,53,77,56,47,50,81,90,100,100,59,87,51,3,Line Drive,Normal,Normal,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,3/4,Normal,1,1,4,4,4,12,8,40,3,69,59,59,64,50,55,72,622,548,.294,.370,.546,113.2,.380,.915,.304,3.73,108,6.2,37.3,-1.3,4.3,3.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,46,Greg Chavarria,,St. Louis,MLB,MLB,03/03/2011,28,VEN,5' 9',185 lbs,Right,Right,5.0 Stars,5.0 Stars,71,67,59,74,70,68,80,93,69,100,83,97,62,62,57,65,65,60,50,9,Line Drive,Spray,Normal,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,91-93,3/4,Normal,1,5,66,63,63,29,26,54,20,26,34,41,29,17,28,34,529,464,.304,.382,.558,94.2,.395,.940,.302,4.31,98,6.1,37.5,-2.2,-1.7,-3.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,83,Lorenzo Garcia,,Cleveland,MLB,MLB,01/18/2012,27,DOM,6' 5',195 lbs,Left,Left,5.0 Stars,5.0 Stars,86,74,46,93,92,86,60,61,42,62,75,59,79,93,47,100,98,96,25,6,Line Drive,Spray,Spray,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,89-91,3/4,Normal,1,10,2,4,1,31,18,36,7,8,29,21,5,7,4,2,659,569,.297,.392,.573,121.2,.399,.964,.294,2.15,125,5.3,46.9,0.0,-0.6,-0.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,48,Koen Gaskell,,New York,MLB,MLB,05/15/2014,25,ARU,6' 3',200 lbs,Right,Right,5.0 Stars,5.0 Stars,93,87,100,77,81,87,100,100,100,100,98,100,81,83,100,65,76,74,69,10,Line Drive,Normal,Pull,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,OTT,Normal,1,1,1,1,2,70,52,53,51,54,33,33,74,54,50,76,634,540,.328,.423,.522,118.8,.398,.945,.351,3.11,120,6.0,44.5,-4.8,1.6,-3.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,29,Jacob Lombard,,Chicago,MLB,MLB,09/27/2007,31,USA,6' 2',205 lbs,Right,Right,5.0 Stars,5.0 Stars,75,80,88,53,75,61,93,87,100,57,91,69,76,70,80,51,70,59,57,59,Line Drive,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,88-90,88-90,OTT,Normal,4,1,1,-,4,81,74,70,71,50,47,57,77,66,77,100,643,556,.308,.397,.520,123.1,.390,.916,.351,4.57,117,8.2,39.4,3.4,5.0,8.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,8,Greg Mancillas,,Washington,MLB,MLB,10/20/2012,26,DOM,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,92,84,76,67,68,88,98,100,88,92,94,100,80,85,72,60,61,78,82,78,Line Drive,Pull,Spray,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,83-85,3/4,Normal,1,1,4,3,1,29,21,19,15,82,49,50,84,79,80,100,629,538,.320,.404,.539,126.3,.395,.943,.342,5.65,117,9.4,44.3,3.8,2.8,6.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,21,Teruhiko Nagata,,Cincinnati,MLB,MLB,03/23/2009,30,BRA,6' 2',195 lbs,Right,Right,5.0 Stars,5.0 Stars,61,54,51,72,70,69,64,93,60,100,88,100,51,55,49,60,63,58,19,5,Flyball,Normal,Normal,1,7,1,11,5,1,6,1,11,5,1,7,1,11,5,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,85-87,3/4,Normal,1,4,57,57,54,27,6,56,13,21,19,35,2,16,2,32,525,443,.318,.415,.607,110.1,.424,1.022,.315,3.85,110,6.4,41.5,0.0,-4.0,-4.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,30,Bobby Rangel,,Detroit,MLB,MLB,04/21/2011,28,DOM,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,91,81,79,57,88,90,92,100,88,70,100,100,78,86,75,53,84,83,53,5,Line Drive,Normal,Pull,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,3/4,Normal,1,4,1,1,1,64,69,61,61,41,27,55,84,54,68,96,630,532,.295,.394,.504,112.8,.378,.897,.313,4.36,108,5.2,36.5,1.1,2.9,3.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,28,Bronson Smith,,Tampa Bay,MLB,MLB,03/26/2012,27,USA,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,91,86,59,76,93,84,98,100,66,100,100,100,81,84,57,67,88,75,18,4,Line Drive,Pull,Normal,1,3,1,15,1,1,3,1,15,1,1,3,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,89-91,91-93,3/4,Normal,1,2,1,4,3,46,35,37,26,23,17,31,53,20,20,40,655,564,.309,.398,.535,124.0,.396,.934,.333,4.26,122,6.0,50.8,-2.2,-0.6,-2.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,11,Francisco Vargas,,San Diego,MLB,MLB,05/16/2013,26,DOM,6' 3',200 lbs,Right,Right,5.0 Stars,5.0 Stars,94,87,94,100,77,90,100,100,100,100,98,100,79,81,86,82,70,72,29,5,Line Drive,Normal,Spray,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,3/4,Normal,1,1,1,1,4,37,72,55,45,51,50,48,62,11,31,17,670,568,.357,.445,.745,186.8,.483,1.189,.333,9.15,173,10.4,97.5,-2.1,-3.9,-6.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
