POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
1B,23,Cesar Aguayo,,Memphis,MLB,MLB,07/01/2020,26,DOM,6' 3',205 lbs,Switch,Left,5.0 Stars,5.0 Stars,80,70,97,95,92,80,53,50,69,53,65,48,77,91,100,100,100,95,16,8,Line Drive,Spray,Pull,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,85-87,85-87,3/4,Normal,1,4,3,2,3,35,29,31,28,15,30,10,44,14,4,21,661,555,.310,.415,.614,144.5,.427,1.029,.297,6.97,139,7.0,67.1,-2.1,-2.9,-5.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,27,Mike Atkins,,Los Angeles,MLB,MLB,10/20/2014,31,USA,6' 6',200 lbs,Left,Left,5.0 Stars,5.0 Stars,80,73,93,82,53,77,57,53,70,52,46,50,80,90,100,95,56,89,43,3,Line Drive,Normal,Normal,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,3/4,Normal,1,1,4,4,4,7,7,29,3,69,60,59,73,58,74,94,637,556,.297,.381,.527,120.2,.384,.908,.316,3.54,112,7.1,38.2,9.1,2.3,11.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,32,Alex Briceno,,Indianapolis,MLB,MLB,09/26/2017,28,DOM,6' 6',205 lbs,Right,Right,5.0 Stars,5.0 Stars,85,81,100,86,92,77,94,100,100,100,100,100,77,77,98,77,87,67,31,1,Line Drive,Spray,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,OTT,Normal,1,6,4,1,3,45,40,71,47,29,16,45,65,63,78,90,662,558,.296,.399,.582,140.3,.410,.981,.310,5.98,130,8.3,60.9,5.7,-0.2,5.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,48,Koen Gaskell,,New York,MLB,MLB,05/15/2014,32,ARU,6' 3',195 lbs,Right,Right,5.0 Stars,5.0 Stars,88,83,95,89,86,82,100,100,100,100,100,100,77,79,93,76,81,70,76,15,Line Drive,Normal,Pull,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,OTT,Normal,1,1,1,1,2,70,52,53,51,40,20,20,81,69,76,97,625,515,.320,.434,.637,152.4,.440,1.070,.325,5.69,138,10.2,64.8,5.5,-1.8,3.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,46,Do-hyun Kim,,Cincinnati,MLB,MLB,08/11/2018,28,KOR,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,91,85,92,71,74,87,99,100,100,98,86,100,80,84,87,62,70,77,29,4,Line Drive,Pull,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,85-87,3/4,Normal,1,2,1,3,4,62,71,61,65,55,35,47,67,59,74,81,654,555,.337,.431,.613,151.3,.435,1.044,.346,6.46,142,8.8,57.4,4.0,1.0,5.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,43,Carlos Salinas,,Atlanta,MLB,MLB,10/05/2015,30,VEN,6' 2',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,87,77,61,64,77,86,66,68,56,52,66,64,80,92,63,70,81,93,49,5,Line Drive,Pull,Spray,1,4,1,6,3,1,4,1,6,3,1,4,1,6,3,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,3/4,Normal,1,1,3,2,4,73,43,73,39,24,25,41,64,47,66,70,654,560,.318,.407,.561,136.8,.407,.967,.327,5.08,127,8.9,52.0,4.8,1.9,6.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,46,Manuel Velez,,Memphis,MLB,MLB,11/06/2021,24,DOM,5' 10',180 lbs,Left,Left,5.0 Stars,5.0 Stars,91,86,78,100,63,86,62,58,58,58,51,52,94,100,86,100,70,100,53,7,Line Drive,Spray,Spray,1,1,1,14,1,1,1,1,14,1,1,1,1,14,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,SIDE,Normal,1,1,2,3,1,16,9,32,3,50,67,47,44,37,42,48,638,560,.311,.387,.609,130.4,.417,.996,.296,5.51,129,6.3,59.7,-3.3,-0.3,-3.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,25,Eric Palka,,Milwaukee,MLB,MLB,10/02/2019,26,USA,6' 1',195 lbs,Right,Right,5.0 Stars,5.0 Stars,81,66,63,74,85,86,76,100,74,99,100,100,62,73,61,66,76,77,61,1,Line Drive,Normal,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,5,1,4,4,17,12,35,7,68,61,67,72,39,53,36,632,529,.301,.397,.552,123.2,.400,.949,.300,4.43,120,7.1,47.2,-0.5,0.8,0.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,16,Bill Luna,,Baltimore,MLB,MLB,01/14/2021,25,DOM,5' 11',190 lbs,Right,Right,5.0 Stars,5.0 Stars,72,66,60,51,49,71,77,93,70,63,53,98,62,64,58,48,48,62,52,1,Normal,Ex. Pull,Spray,1,1,1,16,1,1,1,1,16,1,1,1,1,16,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,84-86,3/4,Normal,1,4,73,70,41,17,16,49,10,11,26,47,19,20,20,42,506,459,.325,.379,.549,91.9,.392,.928,.347,1.98,92,6.0,33.3,-0.7,-1.5,-2.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,28,Nate Chwalek,,Los Angeles,MLB,MLB,02/05/2019,27,USA,6' 4',200 lbs,Left,Right,4.5 Stars,5.0 Stars,73,58,98,63,84,87,49,52,77,47,73,56,61,84,100,73,87,100,17,4,Line Drive,Normal,Normal,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,89-91,91-93,SIDE,Normal,1,2,10,7,11,24,6,36,8,70,43,42,68,49,60,76,627,542,.319,.397,.530,121.1,.390,.927,.333,4.76,114,6.0,38.2,0.7,1.0,1.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
