POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
3B,44,Elly De La Cruz,,Cincinnati,MLB,MLB,01/11/2002,25,DOM,6' 5',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,63,80,77,70,56,49,74,58,71,61,52,46,82,65,79,74,57,50,46,37,Line Drive,Pull,Pull,1,1,1,48,1,1,1,1,47,1,1,1,1,49,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,OTT,Normal,2,-,1,1,2,75,58,95,72,43,42,80,100,100,100,74,650,579,.306,.378,.556,125.8,.389,.935,.357,3.97,117,6.6,32.8,4.6,-0.7,3.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,23,Michael Harris II,,Atlanta,MLB,MLB,03/07/2001,26,USA,6' 0',155 lbs,Left,Left,5.0 Stars,5.0 Stars,91,88,65,62,37,82,82,81,61,56,35,69,91,94,67,66,38,86,61,40,Line Drive,Normal,Normal,1,8,1,51,1,1,11,2,54,1,1,7,1,50,1,13,-,1,6,-,-,-,-,-,-,-,-,3,FB,89-91,90-92,3/4,Normal,58,52,3,3,2,14,26,60,7,92,60,77,74,61,84,80,658,608,.298,.340,.549,112.3,.370,.890,.299,2.02,108,7.6,32.6,2.8,-0.4,2.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,44,Julio Rodriguez,,Seattle,MLB,MLB,12/29/2000,26,DOM,6' 3',220 lbs,Right,Right,5.0 Stars,5.0 Stars,83,88,49,69,51,64,93,90,50,79,55,73,86,79,49,66,49,61,59,35,Line Drive,Normal,Normal,1,1,1,41,1,1,1,1,41,1,1,1,1,41,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,90-92,90-92,3/4,Normal,1,-,1,1,2,20,23,43,12,84,81,65,93,70,83,78,650,592,.334,.392,.554,125.1,.399,.946,.382,5.84,122,8.9,51.1,2.2,0.8,2.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,7,Bobby Witt Jr.,,Kansas City,MLB,MLB,06/14/2000,27,USA,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,69,59,81,66,44,78,59,70,82,67,45,79,59,69,81,66,44,78,58,44,Line Drive,Pull,Pull,1,14,1,49,1,1,12,1,47,1,1,14,1,51,1,23,-,-,-,-,-,-,-,-,-,-,-,1,FB,92-94,92-94,3/4,Normal,38,33,2,2,2,83,79,84,75,51,52,71,100,82,79,90,650,584,.318,.380,.604,138.1,.410,.984,.315,5.65,128,10.0,50.8,0.4,1.3,1.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,23,Fernando Tatis Jr.,,San Diego,MLB,MLB,01/02/1999,28,DOM,6' 3',190 lbs,Right,Right,4.5 Stars,4.5 Stars,62,67,65,84,52,57,69,66,66,88,54,59,66,62,64,83,51,56,63,55,Line Drive,Ex. Pull,Pull,1,1,1,54,1,1,1,1,54,1,1,1,1,54,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,90-92,90-92,3/4,Normal,1,-,1,1,1,54,59,76,45,67,67,82,75,60,88,83,652,575,.306,.387,.579,135.4,.397,.966,.334,5.33,122,8.0,48.8,4.8,1.0,5.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,29,James Wood,,Washington,MLB,MLB,09/17/2002,25,USA,6' 7',235 lbs,Left,Right,4.5 Stars,5.0 Stars,72,100,80,77,69,46,100,67,75,67,61,43,100,74,82,81,73,47,32,16,Line Drive,Ex. Pull,Pull,1,1,1,44,1,1,1,1,44,1,1,1,1,45,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,OTT,Normal,5,15,3,3,1,23,28,43,14,60,65,67,84,66,84,71,658,581,.282,.362,.523,111.6,.372,.885,.337,2.62,109,5.4,33.6,1.1,1.5,2.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,2,Gunnar Henderson,,Baltimore,MLB,MLB,06/29/2001,26,USA,6' 3',220 lbs,Left,Right,4.5 Stars,5.0 Stars,63,74,67,69,74,52,69,59,63,61,69,49,76,65,69,72,76,54,59,32,Line Drive,Pull,Pull,1,1,1,39,1,1,1,1,38,1,1,1,1,41,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,80-83,80-83,3/4,Normal,1,-,1,1,2,71,64,69,66,56,56,59,84,59,84,75,647,560,.259,.346,.466,96.0,.346,.812,.289,2.35,94,5.0,18.7,1.9,-1.5,0.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,22,Juan Soto,,New York,MLB,MLB,10/25/1998,28,DOM,6' 1',185 lbs,Left,Left,4.5 Stars,4.5 Stars,58,51,49,86,100,67,49,53,47,73,100,59,52,60,50,89,100,70,55,51,Flyball,Normal,Normal,1,1,1,52,1,1,1,1,52,1,1,1,1,52,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,-,-,3/4,Normal,1,-,1,1,1,28,31,46,18,53,59,78,52,24,71,51,694,561,.294,.422,.510,132.6,.393,.932,.329,4.27,127,5.3,49.0,-0.3,-5.7,-6.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,13,Ronald Acuna Jr.,,Atlanta,MLB,MLB,12/18/1997,29,VEN,6' 0',205 lbs,Right,Right,4.5 Stars,4.5 Stars,68,65,52,74,85,65,68,73,53,81,88,70,64,66,52,72,84,63,59,56,Line Drive,Spray,Spray,1,1,1,53,1,1,1,1,53,1,1,1,1,53,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,90-92,90-92,OTT,Normal,1,-,1,1,1,20,19,51,10,52,52,77,59,70,93,100,670,563,.293,.396,.512,118.3,.383,.907,.324,4.70,117,5.3,40.4,0.8,2.8,3.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CL,59,Jhoan Duran,,Milwaukee,MLB,MLB,01/08/1998,29,DOM,6' 5',225 lbs,Right,Right,4.5 Stars,4.5 Stars,3,4,1,1,3,4,5,5,1,1,7,6,3,3,1,1,3,3,40,4,Normal,Normal,Normal,74,83,53,52,97,72,81,52,51,95,77,85,53,52,98,100,-,98,-,98,-,-,-,-,-,-,-,3,EX GB,99-101,100+,OTT,Power,18,51,3,3,1,13,23,48,12,8,10,28,26,45,6,25,0,0,.000,.000,.000,0.0,.000,.000,.000,0.00,0,0.0,-0.0,0.0,0.0,0.0,41,5,64.0,7,0.98,2.28,3.5,2.6,2.7,2.42
LF,17,Shohei Ohtani,,Los Angeles,MLB,MLB,07/05/1994,33,JPN,6' 4',205 lbs,Left,Right,4.5 Stars,4.5 Stars,65,86,77,81,54,48,82,61,74,77,52,46,87,66,78,83,54,49,75,62,Line Drive,Ex. Pull,Pull,61,53,46,75,49,58,51,46,72,48,65,55,46,78,50,95,-,58,93,-,47,53,-,-,-,-,-,5,NEU,96-98,96-98,3/4,Power,61,51,3,5,6,24,22,88,14,46,43,94,60,92,96,66,656,584,.300,.367,.574,127.2,.388,.941,.333,3.31,117,5.6,41.6,4.4,-0.4,4.0,0,0,180.1,78,3.89,3.95,0.7,2.7,3.4,3.58
C,76,Jeferson Quero,,Milwaukee,MLB,MLB,10/08/2002,24,VEN,5' 10',210 lbs,Right,Right,4.5 Stars,4.5 Stars,53,40,44,60,58,79,40,55,47,72,69,86,40,52,43,57,55,76,50,40,Normal,Normal,Normal,1,1,1,43,1,1,1,1,41,1,1,1,1,44,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,3/4,Normal,1,-,80,75,73,17,25,43,12,17,19,32,39,15,88,42,554,476,.296,.379,.548,99.6,.387,.927,.305,5.08,99,7.2,35.5,0.0,-0.5,-0.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,89,Sebastian Walcott,,Texas,MLB,MLB,03/14/2006,21,BAH,6' 4',195 lbs,Right,Right,4.5 Stars,5.0 Stars,86,83,81,66,63,76,80,92,91,90,76,93,84,83,77,60,60,70,44,29,Line Drive,Normal,Normal,1,1,1,49,1,1,1,1,47,1,1,1,1,51,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,3/4,Normal,4,-,1,1,1,65,61,77,64,53,47,73,59,72,76,71,659,560,.275,.379,.418,92.3,.341,.797,.311,3.22,93,4.5,16.4,0.2,-0.7,-0.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,36,Wyatt Langford,,Texas,MLB,MLB,11/15/2001,25,USA,6' 1',220 lbs,Right,Right,4.0 Stars,5.0 Stars,67,60,74,68,52,72,62,76,79,77,56,81,59,65,73,65,51,69,37,18,Line Drive,Pull,Pull,1,1,1,44,1,1,1,1,43,1,1,1,1,44,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,OTT,Normal,8,20,28,28,47,29,43,51,26,63,63,64,98,66,86,72,650,587,.308,.369,.564,118.8,.382,.933,.327,4.57,113,6.1,37.9,1.5,2.4,3.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CL,63,Justin Martinez,,Arizona,MLB,MLB,07/30/2001,26,DOM,6' 3',190 lbs,Right,Right,4.0 Stars,4.0 Stars,10,11,15,1,1,9,12,10,16,1,1,9,11,10,15,1,1,8,87,1,Normal,Normal,Normal,91,88,42,56,100,70,74,40,52,84,100,100,43,59,100,98,-,-,100,100,79,-,-,-,-,-,-,4,GB,99-101,99-101,3/4,Power,19,47,2,2,1,37,48,60,25,10,13,23,18,2,20,30,0,0,.000,.000,.000,0.0,.000,.000,.000,0.00,0,0.0,-0.0,0.0,0.0,0.0,46,3,64.1,18,2.52,3.00,3.3,1.6,1.6,2.92
LF,11,Jackson Chourio,,Milwaukee,MLB,MLB,03/11/2004,23,VEN,5' 11',175 lbs,Right,Right,4.0 Stars,5.0 Stars,78,74,55,61,57,72,77,83,57,65,58,76,74,76,55,60,57,69,58,43,Line Drive,Normal,Normal,1,1,1,43,1,1,1,1,41,1,1,1,1,44,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,3/4,Normal,5,-,1,1,1,60,57,59,53,63,81,63,94,83,88,70,678,594,.276,.358,.490,106.7,.353,.848,.311,1.87,102,5.3,24.7,0.4,2.9,3.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,3,Dylan Crews,,Washington,MLB,MLB,02/26/2002,25,USA,5' 11',205 lbs,Right,Right,4.0 Stars,4.5 Stars,68,65,61,72,57,65,67,73,63,77,60,70,65,67,61,70,56,63,62,50,Line Drive,Pull,Pull,1,1,1,36,1,1,1,1,34,1,1,1,1,37,1,1,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83,80-83,3/4,Normal,1,-,3,3,2,31,43,56,9,64,62,51,90,82,89,65,638,570,.302,.371,.539,118.8,.385,.910,.344,3.00,113,6.0,39.6,3.3,0.9,4.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CL,38,Su-kyung Shin,,New York,MLB,MLB,03/15/1994,33,KOR,6' 0',200 lbs,Right,Right,4.0 Stars,4.0 Stars,1,1,1,21,24,1,1,1,1,27,31,1,1,1,1,19,22,1,78,1,Flyball,Normal,Normal,93,61,42,59,62,95,62,42,59,64,91,60,41,59,61,100,93,-,-,-,-,-,-,-,-,-,-,2,NEU,98-100,98-100,3/4,Power,52,30,2,4,1,18,32,40,5,44,49,47,17,14,10,26,1,1,.000,.000,.000,0.0,.000,.000,.000,-0.05,0,0.0,-0.3,0.0,0.0,0.0,31,6,73.2,12,1.47,1.98,3.9,3.8,2.2,2.40
