POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
C,44,Matt Bruns,,Toronto,MLB,MLB,10/24/2007,25,USA,6' 1',205 lbs,Right,Right,5.0 Stars,5.0 Stars,55,54,75,81,65,57,60,72,90,97,79,79,51,51,70,77,62,51,30,10,Line Drive,Pull,Spray,1,5,1,2,6,1,5,1,2,6,1,4,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,83-85,3/4,Normal,1,1,72,72,58,17,4,50,43,51,42,46,37,35,33,39,538,461,.256,.355,.538,91.8,.375,.893,.276,3.01,92,6.2,30.2,0.0,-2.1,-2.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,33,Tony Butler,,Arizona,MLB,MLB,05/20/2004,29,USA,6' 4',200 lbs,Right,Right,5.0 Stars,5.0 Stars,82,60,50,64,46,97,69,100,53,87,53,100,58,74,49,59,44,88,35,9,Normal,Spray,Pull,1,3,1,13,1,1,3,1,13,1,1,3,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,2,76,74,76,25,6,65,7,24,50,65,11,3,4,9,562,518,.315,.356,.542,94.8,.379,.898,.322,1.85,97,7.1,33.6,0.0,-3.1,-3.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,10,John Canida,,Pittsburgh,MLB,MLB,10/06/2009,23,CAN,6' 5',200 lbs,Right,Right,5.0 Stars,5.0 Stars,80,81,60,100,62,68,94,100,69,100,87,95,76,72,58,98,57,61,28,1,Line Drive,Pull,Normal,1,1,1,18,1,1,1,1,18,1,1,1,1,18,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,89-91,89-91,SUB,Normal,1,1,2,3,2,70,58,67,50,49,33,52,48,31,30,48,707,613,.343,.424,.654,173.7,.446,1.078,.365,7.80,162,9.8,80.5,-2.0,-4.8,-6.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,1,Luis Cruz,,Colorado,MLB,MLB,03/17/2010,23,DOM,6' 4',200 lbs,Right,Right,5.0 Stars,5.0 Stars,100,87,57,62,47,100,97,100,62,80,50,100,84,96,56,58,46,97,47,1,Line Drive,Spray,Normal,1,12,1,8,13,1,12,1,8,13,1,12,1,8,13,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,91-93,3/4,Normal,1,7,3,1,2,80,77,41,58,27,34,24,43,42,63,43,658,595,.371,.421,.573,140.8,.418,.994,.387,5.10,135,8.4,49.5,-0.5,0.1,-0.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,6,Elly De La Cruz,,Houston,MLB,MLB,01/11/2002,31,DOM,6' 5',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,62,78,88,99,61,49,72,57,81,86,58,46,80,64,90,100,63,50,40,38,Line Drive,Pull,Pull,1,1,1,48,1,1,1,1,47,1,1,1,1,49,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,OTT,Normal,2,-,1,1,2,76,58,95,72,33,31,68,100,100,100,98,651,560,.304,.393,.607,148.1,.406,1.000,.338,5.07,127,9.5,52.5,10.9,1.2,12.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,15,Leodalis De Vries,,San Diego,MLB,MLB,10/11/2006,26,DOM,6' 2',205 lbs,Switch,Right,5.0 Stars,5.0 Stars,67,83,60,97,50,52,92,80,62,100,52,58,79,63,60,93,50,50,66,47,Line Drive,Normal,Normal,1,1,1,39,1,1,1,1,38,1,1,1,1,41,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,83-85,83-85,3/4,Normal,6,9,2,-,4,76,71,68,64,68,55,55,80,73,75,95,650,584,.298,.360,.563,118.8,.381,.923,.321,2.81,114,7.7,41.2,-1.2,1.3,0.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,23,Michael Harris II,,Atlanta,MLB,MLB,03/07/2001,32,USA,6' 0',160 lbs,Left,Left,5.0 Stars,5.0 Stars,86,78,71,65,37,82,72,74,65,58,35,69,80,89,73,69,38,86,68,43,Line Drive,Normal,Normal,1,9,2,51,1,1,11,4,54,1,1,8,2,50,1,13,-,1,7,-,-,-,-,-,-,-,-,3,FB,89-91,89-91,3/4,Normal,58,52,3,3,2,10,14,49,7,94,61,77,77,63,85,86,632,572,.313,.367,.540,116.8,.378,.907,.328,3.75,109,8.2,36.6,3.6,1.3,4.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,29,Jacob Lombard,,Chicago,MLB,MLB,09/27/2007,26,USA,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,97,99,95,69,74,84,100,100,100,78,91,95,94,93,87,66,70,80,61,60,Line Drive,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,88-90,88-90,OTT,Normal,4,1,2,-,4,81,73,70,71,62,56,70,74,63,81,99,674,588,.296,.380,.507,116.5,.377,.887,.327,4.43,116,7.6,35.2,2.1,-0.3,1.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SP,11,Noriyoshi Maekawa,,Minnesota,MLB,MLB,09/23/2010,23,JPN,6' 1',195 lbs,Right,Right,5.0 Stars,5.0 Stars,1,7,1,1,1,1,10,8,1,1,2,5,5,1,1,1,1,1,48,8,Normal,Normal,Normal,100,65,58,57,69,100,62,58,55,67,100,67,57,58,71,100,72,-,-,100,-,100,-,-,-,100,-,5,GB,97-99,97-99,3/4,Power,54,70,2,3,4,25,7,48,21,47,35,48,9,14,2,40,64,62,.097,.125,.097,0.7,.104,.222,.188,-1.35,-3,-0.9,-10.5,0.0,-0.1,-0.1,0,0,213.0,50,2.11,2.22,4.8,8.3,9.1,1.20
LF,8,Greg Mancillas,,Washington,MLB,MLB,10/20/2012,20,DOM,6' 2',185 lbs,Right,Right,5.0 Stars,5.0 Stars,83,97,75,96,67,60,100,100,88,100,93,81,91,76,71,86,61,55,81,77,Line Drive,Pull,Spray,1,2,1,15,1,1,2,1,15,1,1,2,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,83-85,3/4,Normal,1,1,4,3,1,33,24,24,19,68,44,46,78,74,75,83,597,511,.321,.412,.632,137.0,.434,1.044,.345,6.20,130,7.4,61.5,-1.4,0.5,-0.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
