POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
C,33,Tony Butler,,Arizona,MLB,MLB,05/20/2004,30,USA,6' 4',200 lbs,Right,Right,5.0 Stars,5.0 Stars,77,58,50,63,46,94,63,97,53,86,52,100,56,70,48,58,43,85,36,11,Normal,Spray,Pull,1,2,1,13,1,1,2,1,13,1,1,2,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,2,76,74,76,20,6,62,7,24,47,62,10,2,3,9,562,510,.284,.345,.459,77.0,.345,.804,.295,0.29,81,5.2,18.0,-1.4,-5.8,-7.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,10,John Canida,,Pittsburgh,MLB,MLB,10/06/2009,24,CAN,6' 5',205 lbs,Right,Right,5.0 Stars,5.0 Stars,73,75,56,100,62,63,88,94,62,100,87,88,71,66,54,96,57,58,28,2,Line Drive,Pull,Normal,1,1,1,18,1,1,1,1,18,1,1,1,1,18,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,89-91,89-91,SUB,Normal,1,1,2,3,2,70,58,67,50,49,33,52,50,32,30,59,659,578,.330,.408,.656,154.1,.443,1.064,.329,5.81,148,9.9,73.0,-1.8,-0.6,-2.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,6,Elly De La Cruz,,Houston,MLB,MLB,01/11/2002,32,DOM,6' 5',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,53,62,84,86,65,47,58,50,78,73,60,43,62,55,87,90,66,48,43,39,Line Drive,Pull,Pull,1,1,1,41,1,1,1,1,40,1,1,1,1,41,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,OTT,Normal,2,-,1,1,2,76,57,94,72,32,30,68,100,100,100,98,637,567,.268,.344,.541,113.6,.370,.885,.296,6.03,106,7.7,32.9,8.0,3.0,11.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,15,Leodalis De Vries,,San Diego,MLB,MLB,10/11/2006,27,DOM,6' 2',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,66,83,59,97,50,50,94,79,61,100,51,56,80,62,59,93,49,49,65,47,Line Drive,Normal,Normal,1,1,1,39,1,1,1,1,38,1,1,1,1,41,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,83-85,83-85,3/4,Normal,6,9,2,-,4,76,72,69,64,64,52,52,79,75,77,96,654,592,.264,.332,.541,105.7,.367,.872,.275,3.19,107,7.5,33.9,0.0,0.2,0.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,29,Jacob Lombard,,Chicago,MLB,MLB,09/27/2007,27,USA,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,94,97,94,69,74,79,100,100,100,78,90,90,92,90,86,66,69,76,60,60,Line Drive,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,88-90,88-90,OTT,Normal,4,1,2,-,4,81,73,70,71,60,54,67,76,64,81,100,656,578,.322,.402,.593,143.5,.417,.996,.356,5.38,133,10.9,55.0,4.5,2.2,6.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SP,11,Noriyoshi Maekawa,,Minnesota,MLB,MLB,09/23/2010,24,JPN,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,7,11,1,1,1,1,13,10,1,1,4,4,10,3,1,1,1,1,48,7,Normal,Normal,Normal,100,76,58,59,83,100,73,59,57,80,100,78,58,60,85,100,73,-,-,100,-,100,-,-,-,98,-,5,GB,96-98,96-98,3/4,Power,46,77,2,3,4,29,10,52,23,47,35,48,9,17,2,41,52,51,.098,.115,.098,0.4,.098,.213,.192,-1.24,-2,-0.7,-8.7,0.0,0.0,0.0,0,0,195.1,59,2.72,2.12,3.6,7.7,6.3,1.60
LF,8,Greg Mancillas,,Washington,MLB,MLB,10/20/2012,21,DOM,6' 2',185 lbs,Right,Right,5.0 Stars,5.0 Stars,100,95,80,100,67,92,100,100,94,100,93,100,90,92,76,92,60,82,82,79,Line Drive,Pull,Spray,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,83-85,3/4,Normal,1,1,4,3,1,33,24,24,19,70,46,48,80,74,76,87,652,564,.307,.396,.580,129.9,.407,.975,.324,5.29,127,7.0,52.6,-0.1,0.4,0.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,21,Teruhiko Nagata,,Cincinnati,MLB,MLB,03/23/2009,25,BRA,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,73,59,51,97,65,84,72,100,60,100,83,100,55,62,50,80,60,69,20,5,Normal,Normal,Normal,1,5,1,12,1,1,4,1,12,1,1,5,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,85-87,85-87,3/4,Normal,1,4,57,57,54,32,8,62,17,28,26,43,2,16,3,31,562,482,.284,.377,.527,90.9,.378,.904,.288,2.59,97,4.2,24.4,0.0,-3.0,-3.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CL,10,Juan Quintanilla,,San Diego,MLB,MLB,03/17/2014,20,DOM,6' 2',185 lbs,Switch,Right,5.0 Stars,5.0 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89,2,Flyball,Normal,Spray,100,64,44,63,65,100,67,44,65,67,100,62,44,62,62,-,-,100,-,-,-,100,-,-,-,-,-,2,GB,100+,100+,3/4,GB'er,24,59,3,1,3,24,10,37,11,39,38,39,12,10,6,1,0,0,.000,.000,.000,0.0,.000,.000,.000,0.00,0,0.0,-0.0,0.0,0.0,0.0,23,3,46.2,23,4.44,3.39,-0.1,0.8,-0.6,2.63
LF,9,Carlos Rivera,,Philadelphia,MLB,MLB,11/21/2011,22,VEN,6' 4',205 lbs,Left,Left,5.0 Stars,5.0 Stars,56,78,72,100,100,42,60,45,57,88,98,34,86,61,79,100,100,45,28,1,Line Drive,Normal,Pull,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,84-86,SIDE,Normal,1,3,4,3,3,18,16,40,3,62,52,70,49,34,23,73,658,532,.288,.418,.618,145.4,.431,1.036,.325,5.43,141,7.3,65.0,-2.7,0.4,-2.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
