POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
C,44,Matt Bruns,,Toronto,MLB,MLB,10/24/2007,27,USA,6' 1',205 lbs,Right,Right,5.0 Stars,5.0 Stars,51,50,74,74,63,53,56,63,89,88,76,72,49,48,70,70,61,49,31,10,Normal,Pull,Spray,1,3,1,2,3,1,3,1,2,3,1,2,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,83-85,3/4,Normal,1,1,72,72,58,14,4,46,40,46,38,44,38,35,33,42,539,464,.280,.373,.543,97.5,.383,.916,.300,2.05,94,6.1,33.8,-0.1,-2.1,-2.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,10,John Canida,,Pittsburgh,MLB,MLB,10/06/2009,25,CAN,6' 5',205 lbs,Right,Right,5.0 Stars,5.0 Stars,66,69,79,100,64,59,82,87,93,100,90,81,66,61,75,89,59,55,28,1,Line Drive,Pull,Normal,1,1,1,18,1,1,1,1,18,1,1,1,1,18,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,89-91,89-91,SUB,Normal,1,1,2,3,2,70,58,67,50,48,31,50,49,32,32,67,674,593,.298,.377,.563,125.7,.399,.940,.331,4.56,126,8.2,50.6,-2.7,0.6,-2.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,34,Manny Castillo,,Chicago,MLB,MLB,03/10/2014,21,VEN,6' 0',185 lbs,Right,Right,5.0 Stars,5.0 Stars,64,69,65,96,60,57,83,87,77,100,86,79,65,59,61,91,54,52,39,6,Line Drive,Normal,Spray,1,1,1,13,1,1,1,1,13,1,1,1,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,87-89,87-89,SIDE,Normal,1,1,57,64,54,25,27,49,20,52,45,49,7,18,29,28,564,494,.308,.387,.591,112.9,.412,.978,.342,2.74,111,7.5,45.1,0.0,-1.3,-1.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,46,Greg Chavarria,,St. Louis,MLB,MLB,03/03/2011,24,VEN,5' 9',185 lbs,Right,Right,5.0 Stars,5.0 Stars,81,76,66,86,64,75,90,100,78,100,77,100,71,72,62,75,61,65,48,9,Line Drive,Spray,Normal,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,91-93,3/4,Normal,1,5,65,62,63,34,29,59,25,34,40,51,29,20,23,24,547,477,.281,.358,.503,82.9,.356,.861,.302,2.46,83,4.9,22.2,-1.0,-2.4,-3.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,29,Jacob Lombard,,Chicago,MLB,MLB,09/27/2007,28,USA,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,91,93,92,63,74,78,100,100,100,71,90,88,88,87,84,61,69,74,61,61,Line Drive,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,88-90,88-90,OTT,Normal,4,1,2,-,4,82,73,70,71,58,51,64,79,64,81,100,687,586,.324,.421,.551,147.3,.417,.972,.360,7.09,138,10.8,57.9,3.5,3.4,6.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,8,Greg Mancillas,,Washington,MLB,MLB,10/20/2012,22,DOM,6' 2',190 lbs,Right,Right,5.0 Stars,5.0 Stars,100,94,86,100,67,100,100,100,100,100,93,100,88,94,82,89,61,88,82,77,Line Drive,Pull,Spray,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,83-85,3/4,Normal,1,1,4,3,1,33,24,24,19,81,48,49,83,74,79,90,660,583,.300,.368,.593,129.9,.400,.962,.285,4.13,124,7.6,50.0,1.5,-0.5,1.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,21,Teruhiko Nagata,,Cincinnati,MLB,MLB,03/23/2009,26,BRA,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,66,54,50,91,67,81,63,100,59,100,86,100,51,58,49,74,62,66,19,4,Normal,Normal,Normal,1,4,1,12,1,1,4,1,12,1,1,4,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,85-87,85-87,3/4,Normal,1,4,57,57,54,32,8,62,17,27,26,41,2,15,2,31,559,483,.311,.399,.650,127.2,.430,1.049,.300,4.16,118,7.3,47.6,0.0,-3.0,-3.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CL,10,Juan Quintanilla,,San Diego,MLB,MLB,03/17/2014,21,DOM,6' 2',185 lbs,Switch,Right,5.0 Stars,5.0 Stars,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,91,2,Flyball,Normal,Spray,100,70,55,70,70,100,73,56,72,74,100,67,55,68,67,-,-,100,-,-,-,100,-,-,-,-,-,2,GB,99-101,99-101,3/4,GB'er,27,64,3,1,3,25,10,37,11,40,38,39,12,11,5,1,0,0,.000,.000,.000,0.0,.000,.000,.000,0.00,0,0.0,-0.0,0.0,0.0,0.0,43,1,63.1,4,0.57,1.63,6.2,3.5,4.3,1.87
LF,9,Carlos Rivera,,Philadelphia,MLB,MLB,11/21/2011,23,VEN,6' 4',205 lbs,Left,Left,5.0 Stars,5.0 Stars,57,80,72,100,100,42,60,45,56,86,99,33,87,61,79,100,100,45,28,1,Line Drive,Normal,Pull,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,84-86,SIDE,Normal,1,3,4,3,3,18,16,40,3,64,54,72,53,35,25,76,654,529,.316,.442,.699,172.7,.467,1.141,.352,7.32,157,10.1,83.3,-2.7,1.2,-1.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,25,David Thornton,,Chicago,MLB,MLB,11/09/2008,26,USA,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,95,82,55,79,73,97,93,100,60,100,93,100,79,91,53,72,66,93,50,8,Line Drive,Pull,Pull,1,11,1,7,12,1,11,1,7,13,1,11,1,7,12,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,83-85,83-85,3/4,GB'er,1,4,4,1,3,19,15,20,9,68,53,44,29,29,46,21,667,580,.329,.406,.555,128.6,.406,.961,.334,3.60,128,6.2,50.5,-3.7,-2.4,-6.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,11,Francisco Vargas,,San Diego,MLB,MLB,05/16/2013,22,DOM,6' 3',200 lbs,Right,Right,5.0 Stars,5.0 Stars,100,94,97,100,75,100,100,100,100,100,96,100,86,90,89,91,69,83,26,3,Line Drive,Normal,Spray,1,1,1,6,1,1,1,1,6,1,1,1,1,6,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,3/4,Normal,1,1,1,1,4,35,70,53,44,52,51,49,46,16,28,6,660,575,.365,.444,.737,183.5,.485,1.181,.353,10.12,168,11.3,96.7,-2.0,0.7,-1.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,1,Luis Cruz,,Colorado,MLB,MLB,03/17/2010,25,DOM,6' 4',200 lbs,Right,Right,5.0 Stars,5.0 Stars,93,77,56,58,48,98,87,100,61,73,51,100,74,87,55,55,47,90,45,2,Line Drive,Spray,Normal,1,12,1,8,13,1,12,1,8,13,1,12,1,8,13,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,91-93,3/4,Normal,1,7,3,1,2,80,77,41,58,27,34,23,42,43,65,49,648,599,.347,.387,.558,121.7,.403,.945,.369,5.51,123,7.6,40.6,-3.0,-1.6,-4.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
