POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
1B,23,Cesar Aguayo,,Memphis,MLB,MLB,07/01/2020,24,DOM,6' 3',205 lbs,Switch,Left,5.0 Stars,5.0 Stars,68,65,81,100,100,65,51,47,59,58,72,44,73,81,90,100,100,78,16,9,Line Drive,Spray,Pull,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,85-87,85-87,3/4,Normal,1,4,3,2,3,34,29,31,28,18,34,14,42,14,3,12,620,499,.323,.452,.649,151.9,.454,1.101,.331,7.57,143,8.2,76.3,0.0,-3.0,-3.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,27,Mike Atkins,,Los Angeles,MLB,MLB,10/20/2014,29,USA,6' 6',200 lbs,Left,Left,5.0 Stars,5.0 Stars,81,75,88,90,52,77,58,54,66,56,46,50,81,91,96,100,56,89,45,3,Line Drive,Normal,Normal,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,3/4,Normal,1,1,4,4,4,7,7,33,3,69,60,59,72,56,73,88,637,571,.273,.339,.525,99.2,.361,.864,.276,1.54,100,5.0,26.4,-0.9,3.5,2.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,32,Alex Briceno,,Indianapolis,MLB,MLB,09/26/2017,26,DOM,6' 6',205 lbs,Right,Right,5.0 Stars,5.0 Stars,80,81,100,89,95,67,93,98,100,100,100,93,77,73,95,79,91,61,30,4,Line Drive,Spray,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,OTT,Normal,1,6,4,1,3,45,40,71,47,34,20,49,57,62,73,89,648,548,.283,.383,.527,114.5,.382,.910,.303,3.65,112,6.8,45.0,1.2,2.5,3.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,29,Antonio Charo,,San Diego,MLB,MLB,12/21/2013,30,VEN,6' 3',200 lbs,Left,Right,5.0 Stars,5.0 Stars,86,72,94,61,61,90,59,60,75,47,47,59,77,95,100,69,69,100,48,5,Line Drive,Pull,Normal,1,1,1,13,1,1,1,1,13,1,1,1,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,85-87,85-87,3/4,Normal,1,6,6,11,12,27,14,21,10,75,54,61,83,76,82,100,613,521,.307,.400,.505,124.5,.387,.904,.326,4.93,109,7.8,40.9,11.8,2.1,13.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,48,Koen Gaskell,,New York,MLB,MLB,05/15/2014,30,ARU,6' 3',200 lbs,Right,Right,5.0 Stars,5.0 Stars,93,87,94,80,90,86,100,100,100,100,100,100,81,83,91,67,84,73,75,12,Line Drive,Normal,Pull,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,OTT,Normal,1,1,1,1,2,70,52,53,51,43,24,25,82,69,73,93,643,545,.363,.456,.681,177.5,.471,1.136,.374,6.63,158,12.6,82.9,4.0,1.2,5.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,9,Jimmy Johnston,,Seattle,MLB,MLB,06/30/2015,29,USA,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,72,72,50,86,87,64,89,100,56,100,100,100,67,62,48,71,81,57,32,6,Line Drive,Normal,Normal,1,1,1,9,1,1,1,1,9,1,1,1,1,9,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,84-86,3/4,Normal,1,9,3,1,2,56,30,62,26,69,25,69,29,12,28,4,618,527,.298,.390,.484,100.2,.372,.874,.333,3.40,102,4.9,35.2,-4.3,2.7,-1.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,46,Do-hyun Kim,,Cincinnati,MLB,MLB,08/11/2018,26,KOR,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,93,87,94,67,76,86,100,100,100,94,89,100,83,85,89,60,72,76,27,5,Line Drive,Pull,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,85-87,3/4,Normal,1,2,1,3,4,62,71,61,65,56,37,49,61,60,72,76,650,564,.284,.377,.511,110.3,.376,.888,.297,2.91,110,5.5,26.3,2.3,2.1,4.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,74,Angel Ramos,,Cincinnati,MLB,MLB,02/06/2012,32,DOM,6' 0',200 lbs,Switch,Left,5.0 Stars,5.0 Stars,60,62,73,98,80,56,51,46,56,57,50,42,69,69,81,100,94,62,28,11,Line Drive,Normal,Spray,1,5,1,1,7,1,5,1,1,7,1,5,1,1,6,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,84-86,84-86,OTT,GB'er,1,1,3,1,4,14,8,14,5,61,45,44,69,60,77,96,655,557,.307,.405,.639,153.0,.432,1.044,.309,5.07,140,7.4,55.9,5.2,3.5,8.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,43,Carlos Salinas,,Atlanta,MLB,MLB,10/05/2015,28,VEN,6' 2',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,90,83,62,72,71,87,71,72,57,56,61,65,87,96,66,78,74,94,51,6,Line Drive,Pull,Spray,1,10,1,10,11,1,10,1,10,11,1,10,1,10,11,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,87-89,89-91,3/4,GB'er,1,1,3,2,4,77,43,73,39,26,26,42,73,47,70,71,649,574,.319,.382,.610,135.1,.414,.992,.311,4.86,129,9.7,55.6,2.6,-0.7,1.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,3,Francisco Vargas,,Baltimore,MLB,MLB,05/16/2013,31,DOM,6' 3',200 lbs,Right,Right,5.0 Stars,5.0 Stars,84,72,75,78,91,85,93,100,95,100,100,100,66,70,68,62,83,67,28,7,Line Drive,Normal,Spray,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,3/4,Normal,1,1,1,1,4,37,72,55,46,40,40,41,63,18,40,23,644,539,.273,.379,.475,100.9,.363,.854,.284,2.01,102,3.7,30.2,-3.8,1.3,-2.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
