POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
C,33,Tony Butler,,Arizona,MLB,MLB,05/20/2004,25,USA,6' 4',205 lbs,Right,Right,5.0 Stars,5.0 Stars,75,57,41,63,45,90,63,92,44,86,51,100,56,68,40,59,43,81,32,10,Normal,Spray,Pull,1,3,1,13,1,1,3,1,13,1,1,3,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,2,76,74,76,31,6,73,12,29,57,73,10,4,3,9,559,493,.288,.360,.477,81.8,.360,.836,.302,0.58,88,5.4,23.6,0.0,-4.0,-4.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,44,Elly De La Cruz,,Cincinnati,MLB,MLB,01/11/2002,27,DOM,6' 5',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,62,76,77,95,59,50,69,57,70,83,56,47,78,65,79,100,60,52,46,35,Line Drive,Pull,Pull,1,1,1,48,1,1,1,1,47,1,1,1,1,49,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,OTT,Normal,2,-,1,1,2,75,58,95,72,40,39,77,100,100,100,83,668,575,.280,.374,.605,140.4,.403,.979,.293,5.42,128,8.1,41.0,4.6,3.6,8.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,23,Michael Harris II,,Atlanta,MLB,MLB,03/07/2001,28,USA,6' 0',155 lbs,Left,Left,5.0 Stars,5.0 Stars,94,87,68,60,37,88,80,84,62,54,34,76,89,97,70,62,38,93,62,41,Line Drive,Normal,Normal,1,9,1,51,1,1,12,2,54,1,1,8,1,50,1,13,-,1,8,-,-,-,-,-,-,-,-,3,FB,89-91,90-92,3/4,Normal,58,52,3,3,2,12,22,59,7,94,60,77,75,64,84,88,663,598,.286,.347,.473,100.0,.351,.820,.302,2.95,99,5.9,22.4,0.2,3.6,3.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,44,Julio Rodriguez,,Seattle,MLB,MLB,12/29/2000,28,DOM,6' 3',215 lbs,Right,Right,5.0 Stars,5.0 Stars,85,91,61,72,53,66,97,93,63,81,58,76,90,83,60,68,52,62,59,34,Line Drive,Normal,Normal,1,1,1,41,1,1,1,1,41,1,1,1,1,41,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,90-92,90-92,3/4,Normal,1,-,1,1,2,15,17,37,9,84,82,65,92,71,87,84,656,588,.321,.384,.541,125.2,.389,.925,.356,4.16,118,8.2,45.8,2.9,3.0,5.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,89,Sebastian Walcott,,Texas,MLB,MLB,03/14/2006,23,BAH,6' 4',200 lbs,Right,Right,5.0 Stars,5.0 Stars,93,95,86,100,73,79,92,100,95,100,87,95,97,91,82,93,68,72,45,31,Line Drive,Normal,Normal,1,1,1,49,1,1,1,1,47,1,1,1,1,51,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,3/4,Normal,4,-,1,1,1,67,63,78,65,54,47,73,71,73,78,81,660,583,.338,.409,.664,159.5,.441,1.073,.344,6.45,147,10.7,69.7,1.4,3.3,4.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,7,Bobby Witt Jr.,,Kansas City,MLB,MLB,06/14/2000,29,USA,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,72,60,81,63,46,81,60,73,82,63,46,82,60,72,81,62,46,81,59,45,Line Drive,Pull,Pull,1,14,1,49,1,1,13,1,47,1,1,15,1,51,1,24,-,-,-,-,-,-,-,-,-,-,-,1,FB,92-94,92-94,3/4,Normal,38,33,2,2,2,83,79,84,75,47,48,68,100,81,86,94,661,603,.338,.393,.556,135.6,.404,.949,.372,2.09,127,9.0,48.4,0.9,-0.5,0.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,11,Jackson Chourio,,Milwaukee,MLB,MLB,03/11/2004,25,VEN,5' 11',185 lbs,Right,Right,5.0 Stars,5.0 Stars,79,77,56,83,55,70,79,83,58,88,56,75,76,77,56,81,55,68,58,41,Line Drive,Normal,Normal,1,1,1,43,1,1,1,1,41,1,1,1,1,44,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,75-80,75-80,3/4,Normal,5,-,1,1,1,60,56,57,52,65,83,64,97,84,92,76,672,584,.320,.403,.565,137.4,.400,.968,.344,5.29,127,6.9,49.7,2.8,-3.1,-0.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,23,Fernando Tatis Jr.,,San Diego,MLB,MLB,01/02/1999,30,DOM,6' 3',195 lbs,Right,Right,4.5 Stars,4.5 Stars,61,65,67,83,52,56,67,63,69,87,53,58,64,60,67,81,51,55,60,53,Line Drive,Ex. Pull,Pull,1,1,1,54,1,1,1,1,54,1,1,1,1,54,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,90-92,90-92,3/4,Normal,1,-,1,1,1,54,58,75,44,67,67,82,75,63,87,89,643,577,.307,.364,.560,119.8,.389,.924,.356,3.46,116,6.4,43.6,-0.0,1.7,1.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,15,Leodalis De Vries,,San Diego,MLB,MLB,10/11/2006,22,DOM,6' 2',190 lbs,Switch,Right,4.5 Stars,5.0 Stars,70,88,69,87,51,51,98,83,72,97,53,58,85,67,69,83,50,50,63,48,Line Drive,Normal,Normal,1,1,1,39,1,1,1,1,38,1,1,1,1,41,1,1,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,83-85,83-85,3/4,Normal,6,9,2,-,4,75,71,67,64,70,59,58,77,70,69,79,629,572,.250,.316,.472,78.4,.337,.788,.274,0.90,87,5.0,15.7,-3.6,0.7,-2.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CL,21,Jhoan Duran,,Los Angeles,MLB,MLB,01/08/1998,31,DOM,6' 5',220 lbs,Right,Right,4.5 Stars,4.5 Stars,3,4,1,1,3,4,5,5,1,1,7,6,4,3,1,1,3,3,41,3,Normal,Normal,Normal,76,86,56,52,100,74,84,56,51,98,79,87,56,52,100,100,-,100,-,100,-,-,-,-,-,-,-,3,EX GB,99-101,99-101,OTT,Power,17,50,3,3,1,13,23,48,12,8,8,25,24,47,6,26,0,0,.000,.000,.000,0.0,.000,.000,.000,0.00,0,0.0,-0.0,0.0,0.0,0.0,42,3,68.0,14,1.85,1.46,3.0,4.0,1.3,2.38
