POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
2B,9,Juan Guerra,,New York,MLB,MLB,03/07/2026,29,VEN,5' 9',190 lbs,Left,Right,5.0 Stars,5.0 Stars,77,67,56,73,72,79,50,48,45,45,45,46,75,90,60,88,87,94,32,9,Line Drive,Normal,Normal,1,1,1,16,1,1,1,1,16,1,1,1,1,16,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,86-88,86-88,3/4,Normal,1,1,1,3,2,69,59,74,46,22,26,36,56,24,9,56,584,495,.354,.442,.646,148.0,.450,1.088,.341,6.75,133,10.3,69.1,-1.3,1.3,0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,22,Juan Hernandez,,Cincinnati,MLB,MLB,10/03/2025,29,DOM,6' 1',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,84,73,53,65,51,84,80,97,57,80,59,100,70,79,52,61,49,79,82,2,Line Drive,Ex. Pull,Pull,1,1,1,18,1,1,1,1,18,1,1,1,1,18,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,86-88,86-88,3/4,Normal,1,1,1,3,2,72,57,31,48,39,40,30,36,27,40,66,615,548,.328,.390,.624,131.9,.422,1.014,.319,5.64,127,8.1,49.0,-1.3,-0.0,-1.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,3,Heliodoro Jotta,,Houston,MLB,MLB,09/05/2023,32,USA,6' 2',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,76,64,72,65,80,80,79,100,88,79,97,100,60,65,66,61,75,67,16,15,Line Drive,Pull,Normal,1,3,1,9,2,1,3,1,9,2,1,3,1,9,2,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,1,6,5,9,60,53,56,51,39,27,45,40,37,48,79,629,535,.321,.413,.525,117.2,.399,.939,.345,3.27,118,6.6,47.7,-2.3,1.4,-0.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,13,Angel Le Carré,,Boston,MLB,MLB,04/03/2032,23,VEN,6' 2',200 lbs,Left,Right,5.0 Stars,5.0 Stars,87,86,59,75,74,75,67,60,50,52,90,52,93,95,62,86,67,86,28,9,Line Drive,Spray,Pull,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,89-91,91-93,3/4,Normal,1,1,10,4,6,39,20,37,24,24,36,40,20,25,27,40,637,561,.316,.386,.563,123.9,.397,.949,.321,4.09,119,5.0,41.9,-4.3,-3.0,-7.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,32,Amadeo Muginstein,,St. Louis,MLB,MLB,09/17/2025,30,VEN,6' 4',200 lbs,Right,Right,5.0 Stars,5.0 Stars,81,69,58,87,79,83,79,98,63,100,90,100,66,74,57,80,76,75,30,1,Line Drive,Pull,Spray,1,1,1,6,1,1,1,1,6,1,1,1,1,6,1,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,85-87,85-87,3/4,GB'er,1,5,1,3,1,66,59,68,46,48,36,39,27,28,36,71,624,538,.292,.383,.496,100.0,.377,.879,.307,2.78,106,7.3,36.3,-2.4,-0.4,-2.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,9,Danny Salamanca,,Jacksonville,MLB,MLB,04/20/2032,23,VEN,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,83,72,97,92,81,84,97,100,100,100,100,100,63,65,93,83,74,62,21,6,Line Drive,Normal,Normal,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,86-88,86-88,3/4,Normal,1,6,1,2,1,10,3,22,1,78,77,46,84,60,65,69,628,539,.317,.406,.603,134.8,.421,1.009,.333,4.64,129,9.0,66.7,-0.6,1.0,0.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,7,Seth Sears,,Miami,MLB,MLB,08/20/2028,27,USA,6' 0',200 lbs,Right,Right,5.0 Stars,5.0 Stars,85,76,100,86,55,82,83,95,100,93,61,96,74,81,100,83,53,77,82,70,Line Drive,Normal,Normal,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,3/4,Normal,1,14,4,3,4,75,61,93,57,39,25,72,83,69,70,84,634,559,.301,.374,.549,113.5,.386,.923,.313,3.54,112,7.3,40.0,-0.7,1.4,0.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,26,Jordan Tobar,,Milwaukee,MLB,MLB,01/24/2028,27,VEN,6' 2',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,73,63,53,88,67,76,55,54,48,59,50,54,69,83,56,99,77,87,16,5,Line Drive,Normal,Normal,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,80-83,80-83,3/4,Normal,1,1,1,1,3,11,5,20,4,52,74,55,29,47,59,71,661,587,.300,.371,.564,121.3,.390,.935,.295,3.77,119,5.0,45.4,1.2,-0.8,0.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,56,Bruce Valencia,,St. Louis,MLB,MLB,06/02/2026,29,VEN,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,74,76,79,85,75,63,89,95,84,99,87,90,72,66,76,80,70,58,30,7,Line Drive,Pull,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,88-90,88-90,3/4,Normal,1,1,3,1,2,32,25,15,23,64,40,30,79,62,72,92,632,528,.299,.407,.555,129.8,.406,.962,.313,5.44,122,5.7,51.4,3.1,-2.6,0.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,28,Marcos Soto,,Miami,MLB,MLB,05/31/2024,31,VEN,5' 10',195 lbs,Switch,Right,5.0 Stars,5.0 Stars,81,76,64,49,86,75,85,94,71,55,100,92,74,77,62,47,80,70,65,5,Line Drive,Spray,Normal,1,2,1,4,1,1,2,1,4,1,1,2,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,85-87,SIDE,Normal,1,1,4,2,5,23,25,17,13,82,50,54,81,57,69,97,644,556,.306,.398,.480,114.0,.378,.878,.333,4.92,110,8.2,36.7,1.6,4.3,5.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,4,Joe Hann,,San Diego,MLB,MLB,01/17/2029,26,USA,6' 1',195 lbs,Left,Right,4.5 Stars,4.5 Stars,65,57,100,48,38,72,49,48,91,38,29,49,61,75,100,51,41,84,68,6,Line Drive,Normal,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,1,3,5,1,23,19,19,12,88,67,46,100,100,98,100,634,576,.300,.360,.547,123.7,.380,.906,.324,6.00,109,9.3,39.9,12.9,0.9,13.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,2,Nate Sheriff,,Boston,MLB,MLB,07/24/2031,24,USA,6' 2',200 lbs,Switch,Right,4.5 Stars,5.0 Stars,74,62,74,67,70,79,73,95,79,93,97,100,60,66,71,61,62,70,38,1,Line Drive,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,89-91,3/4,Normal,1,1,4,1,4,14,10,15,6,73,50,43,82,53,50,72,623,538,.290,.376,.528,112.7,.381,.903,.296,5.56,108,6.2,33.0,0.9,1.4,2.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,41,Charlie Dicob,,Texas,MLB,MLB,09/27/2026,28,USA,6' 2',200 lbs,Right,Right,4.5 Stars,4.5 Stars,75,60,84,65,60,84,65,82,90,76,69,91,59,72,82,61,57,82,54,2,Line Drive,Normal,Normal,1,10,1,7,10,1,10,1,7,10,1,10,1,7,10,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,86-88,86-88,SIDE,GB'er,1,5,2,3,1,51,41,71,29,36,27,50,41,23,17,47,655,586,.319,.383,.575,124.9,.401,.958,.307,4.20,124,6.6,49.8,-1.4,-2.5,-4.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,11,Melvin Landeros,,New York,MLB,MLB,10/03/2033,21,DOM,6' 2',185 lbs,Right,Right,4.5 Stars,4.5 Stars,77,72,50,65,62,73,86,100,57,94,75,100,67,69,49,58,59,63,60,4,Groundball,Spray,Normal,1,1,1,14,1,1,1,1,14,1,1,1,1,14,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,3/4,Normal,1,10,9,11,10,64,56,57,52,36,35,48,67,41,43,34,656,561,.340,.427,.565,142.6,.419,.992,.361,4.65,133,7.4,61.2,-0.8,-4.5,-5.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,56,Omar Marin,,New York,MLB,MLB,01/06/2024,31,USA,6' 4',205 lbs,Left,Left,4.5 Stars,4.5 Stars,73,71,60,59,49,67,57,51,50,45,44,48,77,83,63,67,52,77,31,12,Line Drive,Spray,Normal,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,87-89,87-89,3/4,Normal,1,6,1,1,1,33,29,28,3,63,57,63,74,52,60,78,607,554,.318,.377,.563,118.1,.397,.940,.335,1.72,113,6.2,43.5,-0.2,3.3,3.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,21,Wenceslas Aguas,,Chicago,MLB,MLB,08/09/2029,26,VEN,6' 2',205 lbs,Right,Right,4.5 Stars,4.5 Stars,63,59,59,70,48,66,67,86,69,100,52,94,56,58,57,62,47,59,68,48,Flyball,Spray,Spray,1,1,1,17,1,1,1,1,17,1,1,1,1,17,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,85-87,85-87,3/4,Normal,1,6,1,2,1,50,49,55,69,45,37,18,75,58,66,48,631,567,.312,.371,.571,121.5,.396,.942,.323,4.54,117,5.5,46.0,2.7,2.8,5.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,10,Fernando Galiano,,San Francisco,MLB,MLB,10/03/2025,29,VEN,6' 2',200 lbs,Left,Left,4.5 Stars,4.5 Stars,67,69,61,67,62,60,56,50,51,49,52,46,74,75,65,77,67,67,31,2,Line Drive,Spray,Spray,1,2,1,7,1,1,3,1,7,1,1,2,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,3/4,Normal,1,1,11,9,9,56,50,36,4,44,52,54,39,25,14,9,596,517,.306,.388,.553,114.6,.394,.941,.334,4.04,109,5.7,45.5,-1.1,-2.1,-3.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,10,Rich Gonzalez,,Colorado,MLB,MLB,11/11/2031,23,DOM,6' 0',190 lbs,Right,Right,4.5 Stars,4.5 Stars,81,86,45,45,76,65,95,95,50,60,94,83,83,76,44,41,69,60,7,8,Line Drive,Pull,Normal,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,87-89,87-89,3/4,Normal,1,6,1,4,3,66,61,51,47,43,34,46,47,37,34,73,651,557,.338,.432,.530,130.9,.409,.961,.397,4.11,127,6.9,44.6,-0.5,1.8,1.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
