POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
2B,9,Juan Guerra,,New York,MLB,MLB,03/07/2026,28,VEN,5' 9',190 lbs,Left,Right,5.0 Stars,5.0 Stars,80,67,61,74,74,83,50,49,48,45,45,48,75,93,69,90,89,100,33,7,Line Drive,Normal,Normal,1,1,1,16,1,1,1,1,16,1,1,1,1,16,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,86-88,86-88,3/4,Normal,1,1,1,3,2,69,59,74,46,23,29,38,56,26,9,49,622,514,.298,.405,.529,117.9,.390,.934,.311,5.55,114,7.2,42.4,-2.1,-1.1,-3.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,3,Heliodoro Jotta,,Houston,MLB,MLB,09/05/2023,31,USA,6' 2',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,82,73,83,64,80,81,90,100,100,79,97,100,67,71,77,61,74,67,13,15,Line Drive,Pull,Normal,1,5,1,9,3,1,5,1,9,3,1,5,1,9,3,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,1,6,5,9,61,53,56,51,40,29,47,39,35,48,80,640,550,.273,.372,.465,96.8,.361,.837,.292,2.80,103,3.8,27.4,-2.2,3.6,1.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,32,Amadeo Muginstein,,St. Louis,MLB,MLB,09/17/2025,29,VEN,6' 4',200 lbs,Right,Right,5.0 Stars,5.0 Stars,80,72,53,92,80,77,82,96,58,100,91,100,69,73,52,84,77,70,31,2,Line Drive,Pull,Spray,1,1,1,6,1,1,1,1,6,1,1,1,1,6,1,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,85-87,85-87,3/4,GB'er,1,5,1,3,1,66,59,68,46,50,38,42,28,27,35,65,656,560,.336,.425,.614,147.4,.434,1.040,.327,6.85,144,10.3,67.3,-1.9,0.4,-1.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,9,Danny Salamanca,,Jacksonville,MLB,MLB,04/20/2032,22,VEN,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,83,70,97,87,82,84,96,100,100,100,100,100,62,65,93,79,74,62,21,5,Line Drive,Normal,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,86-88,86-88,3/4,Normal,1,6,1,2,1,10,3,22,1,76,76,44,81,59,63,61,650,548,.321,.420,.662,160.4,.441,1.082,.308,8.43,147,11.0,79.5,3.2,-0.4,2.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,7,Seth Sears,,Miami,MLB,MLB,08/20/2028,26,USA,6' 0',200 lbs,Right,Right,5.0 Stars,5.0 Stars,89,83,100,90,55,84,89,100,100,97,61,99,80,86,100,87,52,79,82,69,Line Drive,Normal,Normal,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,3/4,Normal,1,14,4,3,4,75,61,93,57,40,28,73,84,67,71,81,647,574,.338,.406,.620,146.4,.429,1.027,.340,5.75,140,9.3,62.4,1.8,2.5,4.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,26,Jordan Tobar,,Milwaukee,MLB,MLB,01/24/2028,26,VEN,6' 2',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,73,66,58,92,68,73,56,54,50,61,50,52,71,82,61,100,78,83,12,3,Line Drive,Normal,Normal,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,80-83,80-83,3/4,Normal,1,1,1,1,3,11,5,20,4,51,74,55,30,48,59,71,662,575,.355,.426,.689,172.9,.457,1.115,.339,8.13,158,8.6,80.4,2.6,2.0,4.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,56,Bruce Valencia,,St. Louis,MLB,MLB,06/02/2026,28,VEN,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,71,74,84,80,79,61,88,92,90,94,91,84,70,64,82,76,75,56,32,7,Line Drive,Pull,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,88-90,88-90,3/4,Normal,1,1,3,1,2,32,25,15,23,64,40,30,79,61,71,89,676,579,.292,.391,.485,115.6,.374,.876,.323,3.04,115,5.4,36.0,0.6,5.4,5.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,13,Angel Le Carré,,Boston,MLB,MLB,04/03/2032,22,VEN,6' 2',200 lbs,Left,Right,5.0 Stars,5.0 Stars,84,85,56,68,74,72,66,59,49,49,91,50,92,93,59,78,68,82,26,10,Line Drive,Spray,Pull,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,89-91,91-93,3/4,Normal,1,1,10,4,6,38,19,36,23,23,36,40,21,25,27,38,623,529,.342,.427,.603,143.2,.429,1.030,.351,5.52,135,6.3,55.8,-0.0,-2.1,-2.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,4,Jeff Tatum,,Houston,MLB,MLB,10/02/2027,26,USA,6' 1',200 lbs,Left,Right,4.5 Stars,4.5 Stars,65,63,56,46,52,62,47,43,44,32,36,40,72,80,61,51,61,77,52,4,Line Drive,Pull,Normal,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,85-87,SIDE,Normal,1,2,72,79,52,21,8,79,7,32,36,57,23,19,22,17,511,463,.287,.352,.475,75.4,.353,.827,.319,1.24,78,4.5,18.4,-1.6,-2.6,-4.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,22,Juan Hernandez,,Cincinnati,MLB,MLB,10/03/2025,28,DOM,6' 1',200 lbs,Switch,Right,4.5 Stars,4.5 Stars,84,73,54,60,50,83,80,96,58,73,57,100,70,78,53,57,48,77,84,3,Line Drive,Ex. Pull,Pull,1,1,1,18,1,1,1,1,18,1,1,1,1,18,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,86-88,86-88,3/4,Normal,1,1,1,3,2,72,57,31,48,40,40,31,35,27,40,67,632,569,.353,.405,.564,129.0,.401,.969,.367,4.59,122,6.5,38.3,-2.1,-0.2,-2.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
