POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
1B,23,Cesar Aguayo,,Memphis,MLB,MLB,07/01/2020,27,DOM,6' 3',200 lbs,Switch,Left,5.0 Stars,5.0 Stars,80,66,91,96,93,84,51,50,63,54,66,49,74,93,100,100,100,100,16,6,Line Drive,Spray,Pull,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,85-87,85-87,3/4,Normal,1,4,3,2,3,35,30,31,28,14,30,10,48,15,3,23,663,567,.325,.410,.568,139.7,.411,.978,.351,4.91,131,6.4,58.6,-1.3,-5.2,-6.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,35,Arturo Bautista,,Toronto,MLB,MLB,11/26/2022,24,VEN,6' 2',200 lbs,Left,Left,5.0 Stars,5.0 Stars,93,84,52,87,54,89,52,48,41,44,35,44,97,100,58,100,63,100,42,8,Line Drive,Ex. Pull,Spray,1,1,1,12,1,1,2,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,83-85,83-85,SIDE,Normal,1,1,7,6,11,23,10,44,6,54,32,50,26,5,6,1,606,532,.348,.422,.577,129.8,.420,1.000,.352,4.01,124,6.5,55.2,-1.5,-2.1,-3.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,32,Alex Briceno,,Indianapolis,MLB,MLB,09/26/2017,29,DOM,6' 6',200 lbs,Right,Right,5.0 Stars,5.0 Stars,88,83,100,89,90,81,96,100,100,100,100,100,80,82,100,80,85,72,30,1,Line Drive,Spray,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,OTT,Normal,1,6,4,1,3,45,40,71,47,27,16,45,64,62,79,92,667,581,.293,.372,.583,132.4,.396,.955,.307,4.52,124,8.2,54.2,4.9,0.8,5.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,48,Koen Gaskell,,New York,MLB,MLB,05/15/2014,33,ARU,6' 3',195 lbs,Right,Right,5.0 Stars,5.0 Stars,86,81,93,84,89,79,99,100,100,100,100,100,76,76,90,72,84,66,76,13,Line Drive,Normal,Pull,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,OTT,Normal,1,1,1,1,2,59,51,53,50,40,20,20,60,64,62,93,620,534,.320,.408,.575,126.3,.406,.983,.335,4.45,120,7.2,47.5,0.6,1.6,2.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,46,Do-hyun Kim,,Cincinnati,MLB,MLB,08/11/2018,29,KOR,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,92,87,97,71,75,85,100,100,100,97,88,100,82,84,92,62,71,75,31,4,Line Drive,Pull,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,85-87,3/4,Normal,1,2,1,3,4,62,71,61,65,52,32,43,70,59,73,83,648,546,.299,.398,.529,122.2,.390,.927,.302,5.11,117,5.7,33.3,1.2,-1.0,0.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,25,Eric Palka,,Milwaukee,MLB,MLB,10/02/2019,27,USA,6' 1',195 lbs,Right,Right,5.0 Stars,5.0 Stars,82,68,60,73,86,86,79,100,68,98,100,100,65,74,58,65,77,77,61,2,Line Drive,Normal,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,5,1,4,4,13,10,33,7,68,61,67,71,39,53,39,646,543,.319,.418,.602,139.2,.426,1.020,.319,3.23,136,8.1,61.7,-4.7,0.9,-3.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,43,Carlos Salinas,,Atlanta,MLB,MLB,10/05/2015,31,VEN,6' 2',200 lbs,Switch,Right,5.0 Stars,5.0 Stars,80,73,62,62,78,76,62,61,56,51,67,58,76,86,65,68,81,83,47,6,Line Drive,Pull,Spray,1,5,1,6,5,1,5,1,6,5,1,5,1,6,5,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,3/4,Normal,1,1,3,2,4,72,43,73,39,23,25,40,63,45,66,71,630,550,.325,.398,.513,116.6,.384,.911,.348,3.42,110,7.7,38.3,2.0,5.1,7.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,46,Manuel Velez,,Memphis,MLB,MLB,11/06/2021,25,DOM,5' 10',185 lbs,Left,Left,5.0 Stars,5.0 Stars,91,86,74,95,62,86,62,58,56,56,50,52,93,100,81,100,68,100,53,7,Line Drive,Spray,Spray,1,1,1,14,1,1,1,1,14,1,1,1,1,14,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,SIDE,Normal,1,1,2,3,1,14,8,29,3,50,67,47,45,37,45,51,631,564,.374,.436,.732,175.7,.481,1.168,.355,8.98,161,10.2,92.0,-3.3,0.5,-2.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,27,Mike Atkins,,Los Angeles,MLB,MLB,10/20/2014,32,USA,6' 6',200 lbs,Left,Left,5.0 Stars,5.0 Stars,74,69,91,72,55,71,55,51,69,49,47,48,76,85,98,83,59,82,46,3,Line Drive,Normal,Normal,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,3/4,Normal,1,1,4,4,4,7,7,28,4,69,60,59,73,58,75,95,615,552,.274,.345,.531,102.9,.370,.876,.271,1.95,101,5.7,29.8,4.1,3.0,7.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,38,Hiromi Imai,,Cleveland,MLB,MLB,10/31/2021,25,JPN,6' 1',200 lbs,Right,Right,4.5 Stars,5.0 Stars,84,77,74,65,89,79,93,100,89,97,100,100,72,73,69,58,76,67,58,1,Line Drive,Normal,Normal,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,89-91,3/4,Normal,1,1,2,4,2,11,6,39,1,64,55,43,68,44,26,71,625,535,.292,.382,.503,106.8,.377,.885,.316,2.64,106,4.8,33.1,-3.3,0.7,-2.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
