POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
1B,23,Cesar Aguayo,,Memphis,MLB,MLB,07/01/2020,28,DOM,6' 3',200 lbs,Switch,Left,5.0 Stars,5.0 Stars,73,59,88,98,91,83,48,48,62,55,65,49,63,86,98,100,100,98,17,5,Line Drive,Spray,Pull,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,85-87,85-87,3/4,Normal,1,4,3,2,3,35,30,31,28,12,28,10,52,16,2,23,663,553,.286,.392,.519,120.0,.385,.911,.287,3.12,119,5.6,45.0,0.0,-0.1,-0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,35,Arturo Bautista,,Toronto,MLB,MLB,11/26/2022,25,VEN,6' 2',200 lbs,Left,Left,5.0 Stars,5.0 Stars,91,81,51,86,53,88,51,47,40,44,35,44,95,100,56,100,62,100,43,7,Line Drive,Ex. Pull,Spray,1,1,1,12,1,1,2,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,83-85,83-85,SIDE,Normal,1,1,7,6,11,24,11,46,7,54,32,50,28,5,5,2,606,543,.333,.388,.624,130.7,.419,1.012,.324,5.02,125,5.9,54.7,0.0,-1.8,-1.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,32,Alex Briceno,,Indianapolis,MLB,MLB,09/26/2017,30,DOM,6' 6',200 lbs,Right,Right,5.0 Stars,5.0 Stars,86,76,95,85,76,84,87,100,100,100,87,100,72,77,91,76,72,74,28,1,Line Drive,Spray,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,OTT,Normal,1,6,4,1,3,45,40,71,47,27,16,45,65,62,79,90,669,579,.330,.414,.584,146.8,.416,.998,.345,6.69,137,8.8,65.6,6.2,0.9,7.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,48,Koen Gaskell,,New York,MLB,MLB,05/15/2014,34,ARU,6' 3',200 lbs,Right,Right,5.0 Stars,5.0 Stars,79,74,81,76,87,73,91,100,88,100,100,100,69,69,78,63,82,62,75,13,Line Drive,Normal,Pull,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,OTT,Normal,3,1,1,1,2,44,50,52,49,40,20,20,41,49,48,80,628,534,.288,.385,.522,108.1,.379,.908,.303,1.03,110,4.0,34.3,-0.8,1.8,1.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,38,Hiromi Imai,,Cleveland,MLB,MLB,10/31/2021,26,JPN,6' 1',205 lbs,Right,Right,5.0 Stars,5.0 Stars,90,81,74,72,88,87,97,100,89,100,100,100,76,81,69,62,76,74,59,1,Line Drive,Normal,Normal,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,89-91,3/4,Normal,1,1,2,4,2,8,6,36,1,65,55,43,71,44,27,75,626,534,.331,.419,.558,124.2,.409,.977,.353,5.55,125,6.4,49.7,-7.0,0.7,-6.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,46,Do-hyun Kim,,Cincinnati,MLB,MLB,08/11/2018,30,KOR,6' 1',195 lbs,Right,Right,5.0 Stars,5.0 Stars,88,80,86,72,74,84,94,100,100,100,86,100,76,80,81,63,69,74,31,4,Line Drive,Pull,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,85-87,3/4,Normal,1,2,1,3,4,62,71,61,65,50,29,42,71,58,75,88,640,550,.304,.392,.602,138.8,.414,.994,.308,5.95,130,7.4,45.2,5.2,1.5,6.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,25,Eric Palka,,Milwaukee,MLB,MLB,10/02/2019,28,USA,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,86,74,55,72,87,86,86,100,61,97,100,100,71,78,53,63,79,76,60,4,Line Drive,Normal,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,5,1,4,4,12,10,31,7,68,61,67,77,41,54,40,645,562,.313,.395,.527,117.8,.393,.922,.330,4.48,120,7.0,44.2,0.4,0.9,1.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,56,Bruce Valencia,,St. Louis,MLB,MLB,06/02/2026,22,VEN,6' 2',195 lbs,Right,Right,5.0 Stars,5.0 Stars,88,91,74,98,91,72,100,100,80,100,100,100,87,80,72,93,86,62,28,3,Line Drive,Pull,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,88-90,88-90,3/4,Normal,1,1,3,1,2,30,25,14,22,60,40,30,77,56,67,73,668,551,.299,.418,.546,133.1,.406,.964,.317,5.22,131,6.7,53.4,3.4,1.7,5.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,46,Manuel Velez,,Memphis,MLB,MLB,11/06/2021,26,DOM,5' 10',190 lbs,Left,Left,5.0 Stars,5.0 Stars,86,80,68,87,61,80,59,55,53,52,50,50,88,97,75,100,67,94,53,6,Line Drive,Spray,Spray,1,1,1,14,1,1,1,1,14,1,1,1,1,14,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,SIDE,Normal,1,1,2,3,1,12,8,27,4,50,67,48,46,38,46,56,626,550,.344,.411,.667,147.8,.447,1.078,.328,7.54,144,7.9,74.1,-3.8,-0.7,-4.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,27,Mike Atkins,,Los Angeles,MLB,MLB,10/20/2014,33,USA,6' 6',200 lbs,Left,Left,5.0 Stars,5.0 Stars,62,60,74,83,56,61,50,47,58,53,48,45,63,70,81,95,59,70,46,4,Line Drive,Normal,Normal,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,86-88,86-88,3/4,Normal,1,1,4,4,4,7,7,28,4,69,60,59,74,58,76,95,613,533,.308,.392,.576,132.0,.404,.968,.310,5.31,119,7.6,46.9,6.1,3.0,9.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
